CX-5461 (IC50),CX-5461 (IC30),PDS (IC50),PDS (IC30),BMH21 (IC30)
ALKBH1,ABCF2,APITD1,APITD1,ANAPC15
ATM,ATM,ATM,ATM,BCL2
ATR,ATR,BRCC3,BARD1,CDC20
BARD1,BARD1,CDC20,BRCA2,CEP192
BRCA2,CDC20,CHTF18,CDC20,CHEK1
H2AFX,CINP,EME1,EP300,IGHMBP2
LIG4,DNA2,EP300,FANCL,MCM6
MMS22L,ERCC5,GAPDH,H2AFX,PMS2
MUS81,H2AFX,GTF2H2,HAUS5,PNKP
OXR1,LIG4,H2AFX,INO80,POLD4
PALB2,MCM9,HUS1,INO80E,POLE2
POLH,MDC1,IGF1,LIG4,POLR2B
POLQ,POLL,LIG4,MMS22L,POLR2L
PSMB4,POLQ,MUS81,MUS81,RAD23B
PSMC4,RAD21,POLQ,PALB2,RAD51
PSMC5,RAD51,PPP4R2,PCNA,RAD9A
RAD21,RAD54L,PRIM2,PNKP,RDM1
RAD51,RAD9A,PSMA5,POLQ,RFC4
RAD51B,REV1,RAD51,PSMB4,SUPT3H
RAD54B,RNF168,RAD51B,PSMB5,TAOK1
RAD54L,SF3B3,RAD52,RAD21,TOPBP1
RAD9A,SPO11,RAD54L,RAD51,UBB
REV1,UBE2N,RAD9A,RAD51B,USP44
RNF168,XPA,RNF168,RAD52,
STAG2,XRCC2,TRRAP,RAD54L,
UBE2N,,UBE2C,RAD9A,
XPA,,,RNF168,
,,,SMC1A,
,,,UBE2C,
,,,WEE1,
,,,XRCC2,
