Drug,AssayNo,RepNo,sgRNA,PctRed
Vehicle,CGA2,Rep1,NT.5,51.9
Vehicle,CGA2,Rep2,NT.5,40.8
Vehicle,CGA2,Rep3,NT.5,36.4
Vehicle,CGA3,Rep1,NT.5,52.3
Vehicle,CGA3,Rep2,NT.5,51.1
Vehicle,CGA3,Rep3,NT.5,55.4
Vehicle,CGA4,Rep1,NT.5,54
Vehicle,CGA4,Rep2,NT.5,50.4
Vehicle,CGA4,Rep3,NT.5,53.1
Vehicle,CGA5,Rep1,NT.5,53.6
Vehicle,CGA5,Rep2,NT.5,48.1
Vehicle,CGA5,Rep3,NT.5,45.4
Vehicle,CGA7,Rep1,NT.5,20.8
Vehicle,CGA7,Rep2,NT.5,21.9
Vehicle,CGA7,Rep3,NT.5,20.6
Vehicle,CGA8,Rep1,NT.5,22.9
Vehicle,CGA8,Rep2,NT.5,24.3
Vehicle,CGA8,Rep3,NT.5,21.6
CX-5461_IC50,CGA2,Rep1,NT.5,49.9
CX-5461_IC50,CGA2,Rep2,NT.5,23.8
CX-5461_IC50,CGA2,Rep3,NT.5,63.7
CX-5461_IC50,CGA3,Rep1,NT.5,42.7
CX-5461_IC50,CGA3,Rep2,NT.5,65.7
CX-5461_IC50,CGA3,Rep3,NT.5,63.1
CX-5461_IC50,CGA4,Rep1,NT.5,61
CX-5461_IC50,CGA4,Rep2,NT.5,61
CX-5461_IC50,CGA4,Rep3,NT.5,55.7
CX-5461_IC50,CGA5,Rep1,NT.5,38.5
CX-5461_IC50,CGA5,Rep2,NT.5,38.5
CX-5461_IC50,CGA5,Rep3,NT.5,34.3
CX-5461_IC30,CGA3,Rep1,NT.5,51
CX-5461_IC30,CGA3,Rep2,NT.5,47.4
CX-5461_IC30,CGA3,Rep3,NT.5,52.6
CX-5461_IC30,CGA4,Rep1,NT.5,70.8
CX-5461_IC30,CGA4,Rep2,NT.5,54.5
CX-5461_IC30,CGA4,Rep3,NT.5,61.3
CX-5461_IC30,CGA5,Rep1,NT.5,35.2
CX-5461_IC30,CGA5,Rep2,NT.5,39.9
CX-5461_IC30,CGA5,Rep3,NT.5,34.6
CX-5461_IC30,CGA8,Rep1,NT.5,26.2
CX-5461_IC30,CGA8,Rep2,NT.5,27
CX-5461_IC30,CGA8,Rep3,NT.5,28.5
PDS_IC50,CGA3,Rep1,NT.5,61.1
PDS_IC50,CGA3,Rep2,NT.5,56.2
PDS_IC50,CGA3,Rep3,NT.5,62.1
PDS_IC50,CGA4,Rep1,NT.5,60
PDS_IC50,CGA4,Rep2,NT.5,44.3
PDS_IC50,CGA4,Rep3,NT.5,61.5
PDS_IC50,CGA7,Rep1,NT.5,57.7
PDS_IC50,CGA7,Rep2,NT.5,48.5
PDS_IC50,CGA7,Rep3,NT.5,43.8
PDS_IC50,CGA8,Rep1,NT.5,37.1
PDS_IC50,CGA8,Rep2,NT.5,52.8
PDS_IC50,CGA8,Rep3,NT.5,60.7
PDS_IC30,CGA3,Rep1,NT.5,52.5
PDS_IC30,CGA3,Rep2,NT.5,56.9
PDS_IC30,CGA3,Rep3,NT.5,56.1
PDS_IC30,CGA4,Rep1,NT.5,53.7
PDS_IC30,CGA4,Rep2,NT.5,53.9
PDS_IC30,CGA4,Rep3,NT.5,54.8
PDS_IC30,CGA7,Rep1,NT.5,31.5
PDS_IC30,CGA7,Rep2,NT.5,28.5
PDS_IC30,CGA7,Rep3,NT.5,34.6
PDS_IC30,CGA8,Rep1,NT.5,35.5
PDS_IC30,CGA8,Rep2,NT.5,29
PDS_IC30,CGA8,Rep3,NT.5,33
BMH-21_IC30,CGA2,Rep1,NT.5,19.8
BMH-21_IC30,CGA2,Rep2,NT.5,48.4
BMH-21_IC30,CGA2,Rep3,NT.5,45.5
BMH-21_IC30,CGA3,Rep1,NT.5,58.1
BMH-21_IC30,CGA3,Rep2,NT.5,64.5
BMH-21_IC30,CGA3,Rep3,NT.5,69.1
BMH-21_IC30,CGA4,Rep1,NT.5,68.8
BMH-21_IC30,CGA4,Rep2,NT.5,70.6
BMH-21_IC30,CGA4,Rep3,NT.5,62.3
BMH-21_IC30,CGA5,Rep1,NT.5,36.8
BMH-21_IC30,CGA5,Rep2,NT.5,38.5
BMH-21_IC30,CGA5,Rep3,NT.5,38.9
Vehicle,CGA2,Rep1,UBE2N.1,40.3
Vehicle,CGA2,Rep2,UBE2N.1,48.1
Vehicle,CGA2,Rep3,UBE2N.1,37.3
Vehicle,CGA3,Rep1,UBE2N.1,33.9
Vehicle,CGA3,Rep2,UBE2N.1,34.5
Vehicle,CGA3,Rep3,UBE2N.1,34.9
Vehicle,CGA8,Rep1,UBE2N.1,9.18
Vehicle,CGA8,Rep2,UBE2N.1,9.35
Vehicle,CGA8,Rep3,UBE2N.1,8.03
CX-5461_IC50,CGA2,Rep1,UBE2N.1,7.7
CX-5461_IC50,CGA2,Rep2,UBE2N.1,7
CX-5461_IC50,CGA2,Rep3,UBE2N.1,9.1
CX-5461_IC50,CGA3,Rep1,UBE2N.1,4.15
CX-5461_IC50,CGA3,Rep2,UBE2N.1,2.87
CX-5461_IC50,CGA3,Rep3,UBE2N.1,2.01
CX-5461_IC30,CGA3,Rep1,UBE2N.1,4.6
CX-5461_IC30,CGA3,Rep2,UBE2N.1,1.82
CX-5461_IC30,CGA3,Rep3,UBE2N.1,2.75
CX-5461_IC30,CGA8,Rep1,UBE2N.1,1.01
CX-5461_IC30,CGA8,Rep2,UBE2N.1,1.35
CX-5461_IC30,CGA8,Rep3,UBE2N.1,0.53
PDS_IC50,CGA3,Rep1,UBE2N.1,3.05
PDS_IC50,CGA3,Rep2,UBE2N.1,1.79
PDS_IC50,CGA3,Rep3,UBE2N.1,2.51
PDS_IC50,CGA8,Rep1,UBE2N.1,1.74
PDS_IC50,CGA8,Rep2,UBE2N.1,2.87
PDS_IC50,CGA8,Rep3,UBE2N.1,3.61
PDS_IC30,CGA3,Rep1,UBE2N.1,3.13
PDS_IC30,CGA3,Rep2,UBE2N.1,3.36
PDS_IC30,CGA3,Rep3,UBE2N.1,5.21
PDS_IC30,CGA8,Rep1,UBE2N.1,0.96
PDS_IC30,CGA8,Rep2,UBE2N.1,1.13
PDS_IC30,CGA8,Rep3,UBE2N.1,3.11
BMH-21_IC30,CGA2,Rep1,UBE2N.1,40.2
BMH-21_IC30,CGA2,Rep2,UBE2N.1,42.1
BMH-21_IC30,CGA3,Rep1,UBE2N.1,23.5
BMH-21_IC30,CGA3,Rep2,UBE2N.1,21.3
BMH-21_IC30,CGA3,Rep3,UBE2N.1,31
Vehicle,CGA2,Rep1,UBE2N.2,58.7
Vehicle,CGA2,Rep2,UBE2N.2,58.7
Vehicle,CGA2,Rep3,UBE2N.2,58.4
Vehicle,CGA3,Rep1,UBE2N.2,59.8
Vehicle,CGA3,Rep2,UBE2N.2,53.9
Vehicle,CGA3,Rep3,UBE2N.2,57.4
Vehicle,CGA8,Rep1,UBE2N.2,12.2
Vehicle,CGA8,Rep2,UBE2N.2,13.5
Vehicle,CGA8,Rep3,UBE2N.2,13.4
CX-5461_IC50,CGA2,Rep1,UBE2N.2,29.8
CX-5461_IC50,CGA2,Rep2,UBE2N.2,29
CX-5461_IC50,CGA2,Rep3,UBE2N.2,30.5
CX-5461_IC50,CGA3,Rep1,UBE2N.2,23.6
CX-5461_IC50,CGA3,Rep2,UBE2N.2,26.9
CX-5461_IC50,CGA3,Rep3,UBE2N.2,20.4
CX-5461_IC30,CGA3,Rep1,UBE2N.2,31
CX-5461_IC30,CGA3,Rep2,UBE2N.2,30.8
CX-5461_IC30,CGA3,Rep3,UBE2N.2,28.8
CX-5461_IC30,CGA8,Rep1,UBE2N.2,5
CX-5461_IC30,CGA8,Rep2,UBE2N.2,3.37
CX-5461_IC30,CGA8,Rep3,UBE2N.2,4.3
PDS_IC50,CGA3,Rep1,UBE2N.2,42.2
PDS_IC50,CGA3,Rep2,UBE2N.2,31.6
PDS_IC50,CGA3,Rep3,UBE2N.2,31.2
PDS_IC50,CGA8,Rep1,UBE2N.2,6.97
PDS_IC50,CGA8,Rep2,UBE2N.2,9.38
PDS_IC50,CGA8,Rep3,UBE2N.2,15.8
PDS_IC30,CGA3,Rep1,UBE2N.2,27.7
PDS_IC30,CGA3,Rep2,UBE2N.2,31
PDS_IC30,CGA3,Rep3,UBE2N.2,33.4
PDS_IC30,CGA8,Rep1,UBE2N.2,6.93
PDS_IC30,CGA8,Rep2,UBE2N.2,8.94
PDS_IC30,CGA8,Rep3,UBE2N.2,9.84
BMH-21_IC30,CGA2,Rep1,UBE2N.2,62.2
BMH-21_IC30,CGA2,Rep2,UBE2N.2,64.5
BMH-21_IC30,CGA2,Rep3,UBE2N.2,56.2
BMH-21_IC30,CGA3,Rep1,UBE2N.2,55.9
BMH-21_IC30,CGA3,Rep2,UBE2N.2,61.4
BMH-21_IC30,CGA3,Rep3,UBE2N.2,56.1
Vehicle,CGA2,Rep1,UBE2N.3,61.2
Vehicle,CGA2,Rep2,UBE2N.3,54
Vehicle,CGA2,Rep3,UBE2N.3,60.8
Vehicle,CGA3,Rep1,UBE2N.3,52.5
Vehicle,CGA3,Rep2,UBE2N.3,46.5
Vehicle,CGA3,Rep3,UBE2N.3,50.5
Vehicle,CGA8,Rep1,UBE2N.3,12.4
Vehicle,CGA8,Rep2,UBE2N.3,11.7
Vehicle,CGA8,Rep3,UBE2N.3,4.9
CX-5461_IC50,CGA2,Rep1,UBE2N.3,38.9
CX-5461_IC50,CGA2,Rep2,UBE2N.3,43.9
CX-5461_IC50,CGA2,Rep3,UBE2N.3,37.8
CX-5461_IC50,CGA3,Rep1,UBE2N.3,24.9
CX-5461_IC50,CGA3,Rep2,UBE2N.3,21.3
CX-5461_IC50,CGA3,Rep3,UBE2N.3,28.8
CX-5461_IC30,CGA3,Rep1,UBE2N.3,22.2
CX-5461_IC30,CGA3,Rep2,UBE2N.3,21.3
CX-5461_IC30,CGA3,Rep3,UBE2N.3,22
CX-5461_IC30,CGA8,Rep1,UBE2N.3,1.83
CX-5461_IC30,CGA8,Rep2,UBE2N.3,2.61
CX-5461_IC30,CGA8,Rep3,UBE2N.3,5.7
PDS_IC50,CGA3,Rep1,UBE2N.3,38.5
PDS_IC50,CGA3,Rep2,UBE2N.3,30.2
PDS_IC50,CGA3,Rep3,UBE2N.3,32.5
PDS_IC50,CGA8,Rep1,UBE2N.3,3.47
PDS_IC50,CGA8,Rep2,UBE2N.3,3.52
PDS_IC50,CGA8,Rep3,UBE2N.3,4.37
PDS_IC30,CGA3,Rep1,UBE2N.3,39.8
PDS_IC30,CGA3,Rep2,UBE2N.3,35.7
PDS_IC30,CGA3,Rep3,UBE2N.3,33.4
PDS_IC30,CGA8,Rep1,UBE2N.3,1.54
PDS_IC30,CGA8,Rep2,UBE2N.3,7.94
PDS_IC30,CGA8,Rep3,UBE2N.3,7.45
BMH-21_IC30,CGA2,Rep1,UBE2N.3,63.2
BMH-21_IC30,CGA2,Rep2,UBE2N.3,61.2
BMH-21_IC30,CGA2,Rep3,UBE2N.3,56.1
BMH-21_IC30,CGA3,Rep1,UBE2N.3,57.1
BMH-21_IC30,CGA3,Rep2,UBE2N.3,60.9
BMH-21_IC30,CGA3,Rep3,UBE2N.3,61.1
Vehicle,CGA3,Rep1,RNF168.1,61.2
Vehicle,CGA3,Rep2,RNF168.1,61.9
Vehicle,CGA3,Rep3,RNF168.1,63.7
Vehicle,CGA5,Rep1,RNF168.1,58.8
Vehicle,CGA5,Rep2,RNF168.1,56.5
Vehicle,CGA5,Rep3,RNF168.1,59.9
Vehicle,CGA7,Rep1,RNF168.1,47
Vehicle,CGA7,Rep2,RNF168.1,48.3
