sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
RRM2_5	RRM2	511.67/517.43/503.04/487.52/464.92/528.82	332.28/346.06	501.79	339.1	527.43	1003.6	5.1355	1.4072e-07	1	2.8144e-07	0.00082463	False
UBB_1	UBB	230.18/194.72/204.8/188.47/180.9/206.11	132.51/155.73	200.26	143.65	298.96	400.52	2.8287	0.0023367	0.99766	0.0046733	0.99947	False
POLR2D_2	POLR2D	155.21/172.84/145.92/175.97/174.78/168.42	112.43/125.16	165.13	118.63	149.66	330.27	2.5592	0.0052461	0.99475	0.010492	0.99947	False
PSMB6_4	PSMB6	136.79/130.18/140.8/122.12/132.83/121.31	101.39/79.594	130.48	89.834	61.203	260.95	2.516	0.0059353	0.99406	0.011871	0.99947	False
PLK1_5	PLK1	217.03/250.51/234.24/250.01/253.43/257.93	213.82/170.15	243.44	190.74	237.02	486.88	2.3883	0.0084624	0.99154	0.016925	0.99947	False
POLR2I_4	POLR2I	252.54/248.32/279.04/244.24/255.18/250.86	201.78/200.72	254.79	201.25	152.37	509.59	2.3721	0.0088432	0.99116	0.017686	0.99947	False
H2AFX_4	H2AFX	151.26/160.81/149.76/145.2/173.91/170.78	114.44/119.39	158.26	116.89	139.96	316.51	2.3251	0.010032	0.98997	0.020065	0.99947	False
POLM_4	POLM	156.53/156.43/147.2/155.78/133.71/169.6	102.39/124.01	152.81	112.68	142.78	305.62	2.2953	0.010858	0.98914	0.021716	0.99947	False
MSH2_2	MSH2	197.3/193.63/221.44/174.05/183.52/203.75	147.57/154.57	195.05	151.03	270.7	390.09	2.2285	0.012923	0.98708	0.025846	0.99947	False
ORC5_6	ORC5	18.415/33.912/38.4/36.54/23.596/47.111	64.247/37.49	31.49	49.081	111.28	62.979	2.2167	0.98668	0.013322	0.026644	0.99947	True
HFM1_2	HFM1	60.505/48.133/49.92/41.348/40.2/50.644	74.286/65.175	48.006	69.582	54.428	96.012	2.2019	0.98616	0.013835	0.027671	0.99947	True
MDM2_6	MDM2	256.49/289.89/279.04/253.86/284.89/292.09	223.86/224.36	275.61	224.11	282.42	551.22	2.1934	0.014139	0.98586	0.028277	0.99947	False
POLR2A_6	POLR2A	394.6/371.94/398.08/359.63/377.53/383.95	297.14/347.22	380.73	321.21	207.33	761.45	2.157	0.015502	0.9845	0.031003	0.99947	False
PCNA_1	PCNA	102.6/76.575/81.921/71.157/68.165/75.377	40.154/66.329	78.574	51.611	153.17	157.15	2.1508	0.015745	0.98425	0.03149	0.99947	False
FANCG_3	FANCG	172.31/168.47/171.52/192.32/180.9/170.78	144.56/128.04	175.86	136.05	81.632	351.72	2.1228	0.016885	0.98312	0.03377	0.99947	False
RFWD2_1	RFWD2	11.838/18.597/8.9601/4.8079/13.109/16.489	25.096/17.303	11.282	20.84	26.313	22.565	2.0121	0.9777	0.0223	0.044601	0.99947	True
RAD23A_6	RAD23A	28.937/17.503/19.2/20.193/14.856/21.2	5.0193/11.535	19.888	7.6178	23.036	39.777	1.9456	0.025067	0.97493	0.050133	0.99947	False
PLK1_2	PLK1	377.5/416.79/422.4/463.48/413.36/392.2	347.34/367.98	413.43	357.51	867.76	826.86	1.9448	0.025899	0.9741	0.051798	0.99947	False
CCNO_2	CCNO	144.69/145.49/160/126.93/137.2/120.13	155.6/186.87	138.46	170.52	204.54	276.92	1.9265	0.97298	0.027022	0.054044	0.99947	True
BUB1_2	BUB1	44.721/56.884/58.88/55.772/57.678/47.111	68.262/76.711	53.212	72.363	36.287	106.42	1.8565	0.96831	0.031694	0.063388	0.99947	True
PSMA8_3	PSMA8	135.48/125.8/96.001/127.89/131.09/114.24	146.56/151.69	120.97	149.11	210.56	241.94	1.8088	0.96476	0.035243	0.070485	0.99947	True
RECQL4_3	RECQL4	552.44/566.66/568.32/600.03/600.38/533.53	499.92/517.94	569.72	508.85	695.62	1139.4	1.8031	0.035685	0.96432	0.07137	0.99947	False
PAPD7_6	PAPD7	110.49/95.172/115.2/115.39/120.6/118.95	79.305/91.707	112.3	85.281	85.557	224.59	1.8026	0.035723	0.96428	0.071446	0.99947	False
GTF2H2_3	GTF2H2	253.86/233.01/211.2/225.97/192.26/216.71	199.77/169.57	221.35	184.05	436.98	442.7	1.7727	0.038136	0.96186	0.076272	0.99947	False
PSMD4_3	PSMD4	468.26/473.67/497.92/457.71/480.65/446.37	392.51/441.23	470.48	416.16	323.18	940.96	1.7709	0.038287	0.96171	0.076575	0.99947	False
SMC1A_1	SMC1A	441.95/414.6/459.52/410.6/462.3/408.68	401.54/360.48	432.35	380.46	615.17	864.71	1.7648	0.038801	0.9612	0.077602	0.99947	False
RAD18_6	RAD18	119.7/118.14/83.201/101.93/110.11/111.89	132.51/132.08	106.72	132.29	182.64	213.45	1.7503	0.95997	0.040032	0.080063	0.99947	True
CHTF8_3	CHTF8	111.8/95.172/103.68/99.043/106.62/107.18	124.48/132.66	103.77	128.5	36.105	207.54	1.7169	0.957	0.043002	0.086004	0.99947	True
TERF2_2	TERF2	69.713/59.072/64.001/54.81/67.291/57.71	82.316/79.594	61.872	80.944	34.08	123.74	1.7145	0.95678	0.04322	0.086441	0.99947	True
POLE_6	POLE	128.9/121.43/99.841/132.7/96.13/106	138.53/139.58	113.28	139.05	243.05	226.56	1.7124	0.95658	0.043415	0.086831	0.99947	True
PSMC1_4	PSMC1	96.02/109.39/108.8/116.35/121.47/108.35	80.309/88.823	109.78	84.459	74.483	219.56	1.7087	0.043749	0.95625	0.087498	0.99947	False
CHTF8_2	CHTF8	77.605/56.884/65.281/63.464/72.534/80.088	46.178/51.909	68.821	48.96	80.319	137.64	1.6929	0.045236	0.95476	0.090472	0.99947	False
GINS3_2	GINS3	201.25/185.97/162.56/196.16/198.38/239.09	231.89/226.67	195.95	229.27	621.83	391.9	1.683	0.95381	0.046186	0.092373	0.99947	True
PSME2_5	PSME2	60.505/50.321/69.121/53.849/48.065/69.488	74.286/77.864	57.945	76.054	87.442	115.89	1.6821	0.95373	0.046272	0.092545	0.99947	True
POLB_5	POLB	42.091/41.569/34.56/51.925/38.452/35.333	57.22/53.063	40.273	55.102	40.224	80.546	1.6524	0.95077	0.049231	0.098461	0.99947	True
RRM2_4	RRM2	226.24/215.5/170.24/204.82/192.26/216.71	172.66/167.84	203.41	170.24	414.14	406.82	1.6447	0.050011	0.94999	0.10002	0.99947	False
PSMB11_5	PSMB11	111.8/111.58/97.281/109.62/91.76/120.13	91.351/74.98	106.59	82.762	110.25	213.18	1.6319	0.051348	0.94865	0.1027	0.99947	False
PARP3_4	PARP3	19.73/27.348/28.16/22.116/21.848/25.911	32.124/38.644	23.983	35.234	11.725	47.965	1.6245	0.94785	0.052149	0.1043	0.99947	True
PSMB9_1	PSMB9	192.04/145.49/152.32/139.43/152.93/147.22	116.45/135.54	154.04	125.63	356.22	308.08	1.6185	0.052774	0.94723	0.10555	0.99947	False
H2AFX_5	H2AFX	47.352/49.227/70.401/75.003/52.435/51.822	71.274/76.711	56.763	73.942	141.44	113.53	1.6123	0.94656	0.053444	0.10689	0.99947	True
CHAF1A_4	CHAF1A	293.32/329.27/280.32/287.51/299.75/348.62	339.3/351.25	305.53	345.23	712.57	611.06	1.6059	0.94585	0.054149	0.1083	0.99947	True
RRM2B_2	RRM2B	71.028/74.387/92.161/75.965/86.517/65.955	103.4/91.13	77.163	97.07	96.966	154.33	1.6025	0.94547	0.054526	0.10905	0.99947	True
AURKB_6	AURKB	277.54/284.42/268.8/266.36/311.11/283.84	234.9/253.2	281.64	243.88	259.27	563.28	1.591	0.055807	0.94419	0.11161	0.99947	False
PSMD9_3	PSMD9	292/243.95/263.68/249.05/289.26/244.97	233.9/219.75	263.07	226.71	482.67	526.15	1.5852	0.056466	0.94353	0.11293	0.99947	False
FUS_4	FUS	278.85/274.58/298.24/299.05/275.28/289.73	327.26/320.11	285.77	323.66	126.16	571.55	1.5849	0.94351	0.056492	0.11298	0.99947	True
FANCG_1	FANCG	40.775/32.818/39.68/34.617/34.082/44.755	24.093/23.648	37.552	23.869	21.974	75.104	1.5789	0.057177	0.94282	0.11435	0.99947	False
DDB2_4	DDB2	74.974/68.918/80.641/69.234/70.787/52.999	92.355/83.055	69.034	87.582	86.047	138.07	1.5785	0.94278	0.057222	0.11444	0.99947	True
SPDL1_6	SPDL1	52.613/56.884/66.561/61.541/54.182/48.288	72.278/73.827	56.368	73.048	43.014	112.74	1.571	0.94191	0.058095	0.11619	0.99947	True
SHFM1_2	SHFM1	11.838/13.127/5.12/30.771/9.613/10.6	22.085/16.726	11.66	19.221	83.099	23.319	1.5658	0.94083	0.059166	0.11833	0.99947	True
ORC5_3	ORC5	194.67/176.12/236.8/198.09/183.52/196.69	228.88/226.67	196.77	227.77	442.1	393.55	1.5625	0.94092	0.05908	0.11816	0.99947	True
CEP192_4	CEP192	226.24/265.83/236.8/268.28/252.56/255.57	210.81/220.33	250.42	215.52	271.55	500.84	1.5597	0.059419	0.94058	0.11884	0.99947	False
UBE2E1_1	UBE2E1	57.875/65.636/78.081/62.503/58.552/65.955	39.151/55.947	64.439	46.803	54.264	128.88	1.5535	0.060152	0.93985	0.1203	0.99947	False
RFC5_5	RFC5	1.3153/6.5636/2.56/2.8847/6.9913/4.7111	8.0309/7.498	3.5973	7.7599	5.6699	7.1946	1.5519	0.93369	0.066308	0.13262	0.99947	True
GEN1_5	GEN1	110.49/120.33/107.52/109.62/116.23/110.71	91.351/87.092	112.4	89.196	23.127	224.8	1.5476	0.060863	0.93914	0.12173	0.99947	False
TAOK1_1	TAOK1	468.26/432.1/421.12/442.33/485.02/415.75	485.87/493.14	443.41	489.49	747.92	886.82	1.5474	0.93912	0.060878	0.12176	0.99947	True
