id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna
POLR2I	6	4.9632e-06	9.3406e-06	0.002475	1	5	0.12319	0.27774	0.84128	173	1
GAPDH	6	5.7809e-06	9.3406e-06	0.002475	2	5	0.48703	0.67795	0.999897	350	1
ANAPC5	6	2.2035e-05	8.4065e-05	0.012871	3	4	0.18722	0.38105	0.901587	224	1
RRM2	6	2.4957e-05	0.00010275	0.012871	4	5	0.7771	0.86394	0.999897	448	1
SMC1A	6	3.0862e-05	0.00012143	0.012871	5	5	0.99214	0.99216	0.999897	521	0
RAD9A	6	5.657e-05	0.00028956	0.025578	6	6	0.99993	0.9999	0.999897	530	0
RPA3	6	0.00015214	0.00068186	0.050124	7	4	0.85953	0.89517	0.999897	460	1
PSMB5	6	0.00019014	0.00075659	0.050124	8	5	0.58502	0.73681	0.999897	377	1
HAUS1	6	0.00032912	0.0015412	0.090759	9	5	0.94757	0.94699	0.999897	492	1
TOP2A	6	0.00040408	0.0019895	0.105446	10	3	0.95165	0.95077	0.999897	495	1
PSMD12	6	0.0005493	0.0027368	0.131863	11	6	0.99945	0.99939	0.999897	529	0
PSMB3	6	0.000896	0.0043994	0.182815	12	5	0.99809	0.99788	0.999897	528	0
DNA2	6	0.00092978	0.0045302	0.182815	13	5	0.99658	0.99642	0.999897	526	0
PCNA	6	0.0010095	0.0048291	0.182815	14	5	0.87656	0.90262	0.999897	461	1
H2AFX	6	0.00115	0.0055016	0.194389	15	5	0.9011	0.91486	0.999897	472	1
MUS81	6	0.0015166	0.0067159	0.222463	16	5	0.99598	0.9959	0.999897	524	0
STAG2	6	0.0018572	0.0079675	0.23173	17	5	0.96272	0.96166	0.999897	502	0
ANAPC4	6	0.0019421	0.0083038	0.23173	18	4	0.94862	0.94791	0.999897	493	1
RBBP4	6	0.0020587	0.0088455	0.23173	19	3	0.41243	0.61159	0.999897	323	2
