sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
RRM2_5	RRM2	656.09/667.54/648.03/628.35/599.99/681.15	137.35/126.25/98.319/88.335/123.76/91.297	646.3	109.27	846.29	1297.1	14.911	1.3882e-50	1	2.7764e-50	8.1348e-47	False
PSMD4_3	PSMD4	600.43/611.09/641.44/589.93/620.29/574.95	108.65/109.29/138.18/113.1/122.3/127.46	605.98	119.37	547.79	1216.1	13.954	1.4901e-44	1	2.9802e-44	4.3661e-41	False
RPA3_1	RPA3	458.76/482.66/468.3/545.31/524.43/506.69	66.969/59.355/77.061/65.219/61.514/80.675	496.75	68.032	1134.9	996.8	13.579	2.6699e-42	1	5.3397e-42	5.2151e-39	False
RBBP4_3	RBBP4	782.58/805.85/811.28/805.58/876.3/841.95	234.39/265.68/277.69/257.58/285.6/315.11	820.04	271.54	1107.1	1646	13.52	5.991e-42	1	1.1982e-41	8.7769e-39	False
POLE2_6	POLE2	585.25/577.22/633.19/583.73/623.67/588.61	199.54/146.97/163.42/155.21/170.63/188.41	598.23	169.74	556.41	1200.6	12.367	1.9791e-35	1	3.9583e-35	2.3196e-32	False
PCNA_6	PCNA	384.54/433.27/412.23/371.8/417.28/417.18	86.786/73.487/49.16/34.674/71.034/54.12	405.5	58.914	533.27	813.6	12.151	2.8447e-34	1	5.6894e-34	2.7783e-31	False
PSMA5_5	PSMA5	561.64/630.85/613.4/613.48/641.72/608.33	184.51/229.88/192.65/178.32/167.7/201.81	611.04	191.5	758.59	1226.3	11.981	2.2446e-33	1	4.4892e-33	1.879e-30	False
POLR2I_3	POLR2I	465.5/375.41/408.94/428.81/398.11/415.67	77.902/89.503/73.075/53.661/73.231/71.318	414.49	72.298	927.08	831.66	11.866	8.9031e-33	1	1.7806e-32	6.5215e-30	False
MAD2L1_1	MAD2L1	360.93/379.64/382.55/378/380.07/402.01	77.902/72.544/73.075/94.114/79.821/36.165	380.35	69.454	171.45	763.12	11.254	1.1037e-29	1	2.2074e-29	7.1863e-27	False
ERCC2_2	ERCC2	406.47/409.28/377.61/396.59/383.45/406.56	103.87/68.776/99.648/81.731/64.443/73.341	396.47	80.641	178.26	795.48	11.198	2.0875e-29	1	4.175e-29	1.1345e-26	False
