id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
POLE2,6,0.00019529,0.00070054,0.25495,1,4,0.072455,0.16181,0.966698,86,1
RAD23B,6,0.0002509,0.00096208,0.25495,2,4,0.89086,0.88959,0.984347,476,0
CDC20,6,0.00094824,0.0039511,0.512376,3,4,0.78688,0.79345,0.984347,418,1
POLR2L,6,0.0010235,0.00425,0.512376,4,3,0.90317,0.90264,0.984347,483,0
RAD51,6,0.0014253,0.0055576,0.512376,5,3,0.86959,0.86749,0.984347,461,0
IGHMBP2,6,0.0014802,0.0058005,0.512376,6,3,0.47157,0.60175,0.969086,327,1
RAD9A,6,0.0019168,0.0076126,0.548886,7,5,0.99711,0.99704,0.997039,530,0
TAOK1,6,0.0021318,0.0082851,0.548886,8,3,0.30817,0.44824,0.966698,233,2
RDM1,6,0.0026476,0.010004,0.589109,9,4,0.91404,0.91372,0.984347,486,0
RFC4,6,0.0041175,0.015982,0.741513,10,4,0.7006,0.73412,0.984347,391,1
BCL2,6,0.0043211,0.016654,0.741513,11,4,0.71885,0.74557,0.984347,394,1
MCM6,6,0.0047338,0.018037,0.741513,12,4,0.16984,0.30985,0.966698,158,2
POLD4,6,0.004949,0.018933,0.741513,13,3,0.36207,0.49751,0.966698,264,1
PMS2,6,0.0051085,0.019587,0.741513,14,1,0.76265,0.77457,0.984347,408,1
CHEK1,6,0.0074844,0.026163,0.821239,15,3,0.59088,0.6741,0.984347,355,1
USP44,6,0.0075231,0.026256,0.821239,16,4,0.86656,0.86442,0.984347,459,0
TOPBP1,6,0.0077294,0.026667,0.821239,17,4,0.70284,0.73573,0.984347,392,1
PNKP,6,0.0083669,0.027956,0.821239,18,3,0.41854,0.55009,0.966698,295,2
ANAPC15,6,0.0091797,0.029768,0.821239,19,1,0.027329,0.076527,0.870348,45,2
SUPT3H,6,0.0097759,0.031412,0.821239,20,3,0.2728,0.41703,0.966698,219,1
CEP192,6,0.011562,0.035914,0.821239,21,3,0.90998,0.90961,0.984347,485,0
UBB,6,0.013237,0.040659,0.821239,22,2,0.70432,0.73655,0.984347,393,1
POLR2B,6,0.0146,0.044022,0.821239,23,2,0.3308,0.46872,0.966698,248,2
ANAPC2,6,0.01526,0.04546,0.821239,24,1,0.69683,0.7316,0.984347,389,1
GTF2H1,6,0.015627,0.046544,0.821239,25,3,0.28486,0.42734,0.966698,225,2
FEN1,6,0.016095,0.047515,0.821239,26,3,0.82444,0.82491,0.984347,433,1
PSMC5,6,0.017651,0.051551,0.821239,27,4,0.88389,0.88275,0.984347,467,0
DBF4,6,0.018948,0.054913,0.821239,28,3,0.25053,0.39721,0.966698,203,2
DNAJA3,6,0.019278,0.055978,0.821239,29,2,0.77237,0.7818,0.984347,410,1
XRCC5,6,0.019297,0.056034,0.821239,30,2,0.47576,0.60522,0.969086,331,2
WRN,6,0.019898,0.057491,0.821239,31,4,0.97393,0.97313,0.988004,520,0
IGF1,6,0.02037,0.058687,0.821239,32,4,0.34211,0.47871,0.966698,254,1
POLL,6,0.020729,0.059602,0.821239,33,4,0.78289,0.78968,0.984347,417,1
RBX1,6,0.02131,0.06147,0.821239,34,3,0.57708,0.66735,0.984347,351,1
ANAPC1,6,0.021337,0.061508,0.821239,35,4,0.88956,0.88822,0.984347,474,0
RCC1,6,0.021957,0.063021,0.821239,36,4,0.16372,0.3007,0.966698,152,2
GTF2H3,6,0.02332,0.066346,0.821239,37,1,0.38427,0.51843,0.966698,275,1
POLB,6,0.02389,0.067635,0.821239,38,4,0.98267,0.98208,0.988004,525,0
RAD52,6,0.024156,0.068233,0.821239,39,4,0.84799,0.84656,0.984347,451,0
ORC3,6,0.024691,0.06954,0.821239,40,3,0.17334,0.31505,0.966698,162,1
