id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
RAD54L,6,5.81E-06,4.67E-05,0.017327,1,5,0.31118,0.44923,0.982548,240,1
H2AFX,6,1.09E-05,6.54E-05,0.017327,2,5,0.99957,0.99952,0.999673,529,0
XRCC2,6,0.00013022,0.00060714,0.107261,3,4,0.92576,0.92616,0.999673,478,0
RAD9A,6,0.00034113,0.0014665,0.194307,4,6,0.99966,0.99967,0.999673,530,0
RAD51,6,0.0005318,0.0023632,0.250495,5,3,0.98225,0.98221,0.999673,520,0
XPA,6,0.00075072,0.0030544,0.269802,6,4,0.46606,0.59534,0.990447,316,2
REV1,6,0.0010235,0.0042873,0.287748,7,2,0.054709,0.13378,0.927067,75,3
POLL,6,0.0010456,0.0043434,0.287748,8,4,0.93033,0.93035,0.999673,481,0
CDC20,6,0.0018753,0.0074631,0.439494,9,5,0.82966,0.83033,0.999673,430,1
ERCC5,6,0.0032699,0.012955,0.639375,10,5,0.98123,0.98137,0.999673,519,0
RNF168,6,0.0034701,0.013759,0.639375,11,4,0.97961,0.97974,0.999673,518,0
UBE2N,6,0.0037749,0.014898,0.639375,12,3,0.38972,0.52332,0.982548,272,1
SPO11,6,0.0040026,0.015683,0.639375,13,4,0.87146,0.87133,0.999673,448,0
MDC1,6,0.0048766,0.018672,0.686799,14,4,0.98872,0.98865,0.999673,522,0
LIG4,6,0.0051085,0.019438,0.686799,15,2,0.041252,0.10875,0.905805,62,2
MCM9,6,0.0066287,0.024444,0.778465,16,3,0.86618,0.86599,0.999673,444,0
ATR,6,0.0071459,0.025864,0.778465,17,2,0.43422,0.56388,0.987616,302,2
BARD1,6,0.0084206,0.028984,0.778465,18,4,0.92363,0.924,0.999673,477,0
DNA2,6,0.0084522,0.029133,0.778465,19,4,0.0095341,0.031356,0.841293,16,2
ABCF2,6,0.0085224,0.029376,0.778465,20,3,0.70134,0.7336,0.999673,381,1
POLQ,6,0.0091797,0.030889,0.779585,21,3,0.080735,0.17401,0.944473,95,3
CINP,6,0.01156,0.03711,0.882178,22,4,0.9493,0.94856,0.999673,495,0
SF3B3,6,0.012983,0.041052,0.882178,23,4,0.55356,0.65398,0.992316,347,1
RAD21,6,0.013232,0.041612,0.882178,24,3,0.67096,0.71464,0.999673,369,1
ATM,6,0.013237,0.041612,0.882178,25,4,0.94284,0.94245,0.999673,490,0
APITD1,6,0.014429,0.044564,0.883938,26,4,0.79575,0.80098,0.999673,416,1
PALB2,6,0.0146,0.045031,0.883938,27,2,0.77943,0.78699,0.999673,411,1
PSMB4,6,0.016401,0.049103,0.929455,28,2,0.88759,0.88798,0.999673,459,0
STAG2,6,0.017224,0.051345,0.938375,29,4,0.95915,0.95884,0.999673,499,0
EP300,6,0.019297,0.057024,0.987704,30,3,0.99446,0.99433,0.999673,527,0
PAPD7,6,0.01961,0.057771,0.987704,31,2,0.01121,0.035634,0.841293,19,2
PSMD11,6,0.020965,0.061115,0.994079,32,3,0.57708,0.66466,0.992316,355,1
DDX11,6,0.021708,0.062983,0.994079,33,4,0.86152,0.8614,0.999673,441,0
TRAF3IP3,6,0.02332,0.06685,0.994079,34,4,0.77177,0.78086,0.999673,406,1
IGHMBP2,6,0.024524,0.069839,0.994079,35,2,0.94341,0.94283,0.999673,491,0
