id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
RAD54L,6,6.74E-06,4.67E-05,0.024752,1,4,0.70432,0.79653,0.996177,413,1
H2AFX,6,5.33E-05,0.00032692,0.086634,2,6,0.99993,0.9999,0.999897,530,0
EME1,6,0.00041881,0.0021016,0.371287,3,4,0.43443,0.60081,0.996177,313,2
APITD1,6,0.00065269,0.0032599,0.40099,4,3,0.57508,0.70483,0.996177,369,1
PSMA5,6,0.00079072,0.0037829,0.40099,5,4,0.90549,0.90638,0.996177,475,1
POLQ,6,0.0010235,0.0048291,0.426568,6,4,0.11192,0.25398,0.971779,134,2
RAD9A,6,0.0016319,0.007295,0.552334,7,5,0.99675,0.99637,0.999111,528,0
CHTF18,6,0.0024495,0.010265,0.600248,8,5,0.16984,0.32992,0.996177,175,1
TRRAP,6,0.0025403,0.010583,0.600248,9,4,0.7006,0.79523,0.996177,412,1
GTF2H2,6,0.0029405,0.012115,0.600248,10,5,0.068601,0.16958,0.950342,94,1
LIG4,6,0.0030677,0.012526,0.600248,11,2,0.19921,0.36636,0.996177,192,1
RAD52,6,0.0033159,0.013591,0.600248,12,5,0.88692,0.89145,0.996177,463,1
HUS1,6,0.0049778,0.019064,0.710087,13,5,0.99753,0.99723,0.999111,529,0
BRCC3,6,0.0051085,0.019587,0.710087,14,3,0.26332,0.44193,0.996177,230,2
RAD51,6,0.0052455,0.020185,0.710087,15,4,0.97546,0.97494,0.996177,513,0
PPP4R2,6,0.0056314,0.021437,0.710087,16,3,0.30276,0.48822,0.996177,256,3
RAD51B,6,0.007179,0.026088,0.795446,17,5,0.88792,0.89216,0.996177,465,1
MUS81,6,0.0077007,0.02805,0.795446,18,4,0.99099,0.99054,0.996177,527,0
GAPDH,6,0.0083239,0.029694,0.795446,19,4,0.98634,0.98589,0.996177,518,0
EP300,6,0.0089182,0.031524,0.795446,20,5,0.92553,0.92472,0.996177,487,0
ATM,6,0.0091797,0.032365,0.795446,21,3,0.062796,0.15891,0.946323,89,2
IGF1,6,0.010485,0.036587,0.795446,22,4,0.47897,0.63244,0.996177,328,2
UBE2C,6,0.010518,0.036718,0.795446,23,3,0.58754,0.71452,0.996177,372,2
CDC20,6,0.010699,0.037278,0.795446,24,4,0.98911,0.98865,0.996177,522,0
RNF168,6,0.010771,0.037521,0.795446,25,3,0.56683,0.69848,0.996177,367,2
PRIM2,6,0.011241,0.039146,0.797982,26,4,0.45078,0.61234,0.996177,320,2
INO80E,6,0.013099,0.045871,0.816494,27,3,0.55356,0.68835,0.996177,361,1
POLR2D,6,0.013351,0.046413,0.816494,28,5,0.70801,0.79794,0.996177,415,1
RAD1,6,0.013783,0.047945,0.816494,29,4,0.62285,0.74236,0.996177,381,1
STAG1,6,0.014324,0.049309,0.816494,30,5,0.65944,0.77126,0.996177,401,1
