id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
ANAPC5,6,2.40E-06,9.34E-06,0.00495,1,5,0.23264,0.44449,0.977713,238,1
POLR2I,6,5.81E-06,2.80E-05,0.007426,2,5,0.67819,0.80507,0.998814,418,1
GAPDH,6,2.13E-05,0.00010275,0.018152,3,5,0.22605,0.43784,0.977713,234,1
RPA3,6,8.74E-05,0.00043901,0.058168,4,5,0.99639,0.9965,0.998814,526,0
SMC1A,6,0.00014933,0.00066318,0.070297,5,6,0.99862,0.99881,0.998814,530,0
HAUS1,6,0.00022428,0.0009434,0.083333,6,5,0.9807,0.98041,0.998814,513,0
PSMB3,6,0.0004031,0.0019709,0.149134,7,5,0.93187,0.94023,0.998814,485,1
TOP2A,6,0.00046509,0.0022511,0.149134,8,5,0.96735,0.9673,0.998814,500,0
PSMB5,6,0.00067215,0.0032225,0.175743,9,5,0.99345,0.99368,0.998814,520,0
RRM2,6,0.00069568,0.0033159,0.175743,10,5,0.90915,0.9276,0.998814,479,1
RBBP4,6,0.0010235,0.0048477,0.230388,11,3,0.71743,0.82913,0.998814,430,1
PCNA,6,0.0011339,0.0055203,0.230388,12,5,0.98787,0.98785,0.998814,518,0
RAD9A,6,0.0011483,0.005651,0.230388,13,5,0.94981,0.95151,0.998814,490,1
CDC45,6,0.0014306,0.0067159,0.254243,14,5,0.99045,0.99072,0.998814,519,0
PPP4C,6,0.0020809,0.0096114,0.324567,15,6,0.99789,0.99816,0.998814,529,0
GINS3,6,0.002121,0.0097982,0.324567,16,5,0.9748,0.97434,0.998814,509,0
MAD2L1,6,0.0023798,0.010826,0.328035,17,4,0.97363,0.97313,0.998814,507,0
PSMB7,6,0.0025032,0.011405,0.328035,18,4,0.69758,0.81667,0.998814,424,1
DNA2,6,0.0025572,0.01176,0.328035,19,6,0.99744,0.99766,0.998814,528,0
POLR2D,6,0.0028249,0.013217,0.344959,20,5,0.69379,0.81439,0.998814,422,1
YBX1,6,0.0029964,0.013945,0.344959,21,6,0.997,0.99708,0.998814,527,0
STAG2,6,0.0030909,0.014319,0.344959,22,5,0.89183,0.91929,0.998814,474,1
ANAPC4,6,0.0033269,0.015421,0.355359,23,4,0.57428,0.74544,0.998814,377,2
CDC23,6,0.0043177,0.018746,0.404158,24,5,0.26649,0.47656,0.994406,254,1
PKMYT1,6,0.0044323,0.019064,0.404158,25,5,0.59282,0.75594,0.998814,385,1
