Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
DNA repair (GO:0006281)	13/403	0.00000000000000000181205317178078724931125990398773046201528238354091192297001811084555811248719692230224609375	0.000000000000001266625167074770363535396470621963373965408912458219248264867928810417652130126953125	0.0000000000000000678031404680750075820374669419389643312522041019262120098431978476583026349544525146484375	0.0000000000000473943951871844288577078470352531292992290072596528460735498811118304729461669921875	-2.4631689957039007	84.49265835815675	RFC4;IGHMBP2;RAD23B;RDM1;POLD4;UBB;POLR2B;TAOK1;POLE2;CHEK1;PMS2;TOPBP1;POLR2L
nucleotide-excision repair (GO:0006289)	6/75	0.00000000005918462026144325460337505619731572614750092498070443980395793914794921875	0.0000000206850247813744180525662532711683727626450490788556635379791259765625	0.000000000484705619150769651422190688089437771157719225811888463795185089111328125	0.00000016940461389319399255167018607248774486606635036878287792205810546875	-2.2058758818637925	39.03044985242001	POLD4;RFC4;POLR2B;POLE2;RAD23B;POLR2L
transcription-coupled nucleotide-excision repair (GO:0006283)	5/47	0.000000000652994993495984492709637700609028032605607450022944249212741851806640625	0.00000015214783348456438473339405285933434441858480568043887615203857421875	0.0000000043422149144770991368148552679538665355352122787735424935817718505859375	0.000001011736075073164040975218398721313661781096016056835651397705078125	-2.262858275903055	35.523284228265	POLD4;RFC4;POLR2B;POLE2;POLR2L
DNA recombination (GO:0006310)	6/196	0.000000020020382037785804879739573708223587811261268143425695598125457763671875	0.0000027988494088824557279901288076029430840208078734576702117919921875	0.00000011976417750306305139962304538714388257858445285819470882415771484375	0.0000167430320149282167350134054029098251703544519841670989990234375	-2.3068691075482057	29.49632543107757	RDM1;POLD4;RFC4;POLE2;IGHMBP2;PMS2
DNA replication (GO:0006260)	6/186	0.0000000146428964850827680255421965626640157243087969618500210344791412353515625	0.0000025588461607682136864073095539051649893735884688794612884521484375	0.00000008860786804276530981459782283782278256012432393617928028106689453125	0.00001548422494047323663278643846030746544784051366150379180908203125	-2.2588028203146493	29.08424147942919	POLD4;RFC4;POLE2;CHEK1;IGHMBP2;MCM6
mitotic cell cycle (GO:0000278)	7/404	0.00000005325028489909811194097640570273288762592756029334850609302520751953125	0.000006203658190744929640768334788702986770658753812313079833984375	0.0000003757285435676497693804833273578669405878827092237770557403564453125	0.00004377237532563119765637027480664755785255692899227142333984375	-2.2925849068862627	27.488944520572424	POLD4;RFC4;UBB;TAOK1;POLE2;CEP192;MCM6
telomere maintenance via semi-conservative replication (GO:0032201)	3/22	0.00000110666895216404736514148599013651619316078722476959228515625	0.00009669519969533364191736912740537945865071378648281097412109375	0.00000379981514391843401770988523924454938196504372172057628631591796875	0.0003320088481998731953261094762552829706692136824131011962890625	-2.5190864993411286	23.28630157932755	POLD4;RFC4;POLE2
nucleotide-excision repair, DNA gap filling (GO:0006297)	3/22	0.00000110666895216404736514148599013651619316078722476959228515625	0.00009669519969533364191736912740537945865071378648281097412109375	0.00000379981514391843401770988523924454938196504372172057628631591796875	0.0003320088481998731953261094762552829706692136824131011962890625	-2.494527421428044	23.059278769692444	POLD4;RFC4;POLE2
telomere maintenance via recombination (GO:0000722)	3/26	0.00000186392133613361347149370815523550248826722963713109493255615234375	0.000144764557106377331728574997526948209269903600215911865234375	0.000006017746115734589845247363981695087886691908352077007293701171875	0.000467378281655386469510549130035315101849846541881561279296875	-2.4981046359252352	22.08424891821856	POLD4;RFC4;POLE2
DNA strand elongation involved in DNA replication (GO:0006271)	3/33	0.00000389496664367355318291108456918436786509118974208831787109375	0.0002394417199445352082039228935883556914632208645343780517578125	0.0000116941103899418911873757387365202475848491303622722625732421875	0.000743107560233580133855768590223078717826865613460540771484375	-2.437199618772821	20.319421907649303	POLD4;RFC4;MCM6
