Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
DNA repair (GO:0006281)	36/403	0.0000000000000000442742720254740812601862223409356089436097439655803942315515087102539837360382080078125	0.0000000000000358178860686085340074657563842258481940999080561649492437936714850366115570068359375	0.00000000000001429733316263814351469729096935516235908326075632057694519971846602857112884521484375	0.00000000001156654252857425747545682783828292924076241998676550792879424989223480224609375	-2.4631689957039007	76.26052252755716	MUS81;MDC1;INO80E;MCM9;XPA;BRCC3;BRCA2;RAD54B;EME1;ALKBH1;RAD21;RAD54L;POLL;POLH;BARD1;POLQ;FANCL;XRCC2;H2AFX;REV1;LIG4;HUS1;INO80;GTF2H2;SMC1A;PALB2;RAD51B;RNF168;RAD52;MMS22L;APITD1;CINP;UBE2N;ATM;ERCC5;ATR
DNA recombination (GO:0006310)	23/196	0.000000000000011046172816465578598131779067792239993757680109609520258118209312669932842254638671875	0.000000000004468176904260326171390818273825400728550827356144736768328584730625152587890625	0.00000000000102085807212217407950304124366781104138977853690306574208079837262630462646484375	0.00000000041293709017341943464699998564350520713350789492324111051857471466064453125	-2.314485174375303	60.486849612182915	MUS81;PRIM2;MDC1;INO80E;SPO11;XRCC2;MCM9;H2AFX;LIG4;HUS1;INO80;BRCA2;PALB2;RAD54B;RAD52;RAD51B;RNF168;MMS22L;EME1;RAD21;UBE2N;RAD54L;ATM
double-strand break repair (GO:0006302)	19/114	0.0000000000000229203889918529580140756252800663061875026914326891613882253295741975307464599609375	0.000000000006180864898136348327817112852638274894494230249364363771746866405010223388671875	0.00000000000153194046219676752031218134293832238736199347073352328152395784854888916015625	0.0000000004131132779723949934927014642264096744295187590978457592427730560302734375	-2.2078813089162432	56.984451525044705	MDC1;XRCC2;MCM9;H2AFX;LIG4;HUS1;INO80;BRCC3;BRCA2;PALB2;RAD54B;RAD51B;RAD52;RNF168;MMS22L;RAD21;UBE2N;RAD54L;ATM
recombinational repair (GO:0000725)	15/62	0.0000000000090636887872424893773846412682617637752990891186755106900818645954132080078125	0.000000001466504845775834850407964287809410575125212972125154919922351837158203125	0.00000000025456568558051689502640609310732920655961919464971288107335567474365234375	0.00000004118872792692763074081987724299469544320118075120262801647186279296875	-2.256136458970986	45.89068175860545	MDC1;XRCC2;MCM9;H2AFX;HUS1;INO80;BRCA2;PALB2;RAD54B;RAD51B;RAD52;MMS22L;UBE2N;RAD54L;ATM
double-strand break repair via homologous recombination (GO:0000724)	15/61	0.000000000007911785020010621545173720464789123528459580114713389775715768337249755859375	0.000000001466504845775834850407964287809410575125212972125154919922351837158203125	0.000000000226147671317271271643295103151243517769497515246257535181939601898193359375	0.00000004118872792692763074081987724299469544320118075120262801647186279296875	-2.236278994713176	45.48677331186032	MDC1;XRCC2;MCM9;H2AFX;HUS1;INO80;BRCA2;PALB2;RAD54B;RAD51B;RAD52;MMS22L;UBE2N;RAD54L;ATM
response to ionizing radiation (GO:0010212)	11/127	0.0000000809819704853448103208329411466237512939869702677242457866668701171875	0.000010919069020440658779086580409956042103658546693623065948486328125	0.0000008497884437835547146358598259718863943135147565044462680816650390625	0.000114579808503482616821762818393182215004344470798969268798828125	-2.200744424305402	25.143504708379087	RNF168;XRCC2;H2AFX;LIG4;HUS1;RAD54L;ATM;INO80;BRCC3;BRCA2;ATR
response to radiation (GO:0009314)	17/442	0.00000472896411741848183597769494923568345257081091403961181640625	0.000546533138713078763502861701084611922851763665676116943359375	0.00005723121464867167505589928833131807550671510398387908935546875	0.0057875065813469232789412188822097959928214550018310546875	-2.4442527963722407	18.361020745880573	XRCC2;H2AFX;XPA;REV1;LIG4;HUS1;BRCC3;INO80;GTF2H2;BRCA2;SMC1A;RNF168;RAD54L;ATM;ERCC5;POLH;ATR
response to gamma radiation (GO:0010332)	5/44	0.0000079263258027592134479823171577805851484299637377262115478515625	0.000801549696804025428586992774171449127607047557830810546875	0.000035908525546593042803052153733034401739132590591907501220703125	0.00414999959531339550344863909003834123723208904266357421875	-2.2986888773745875	16.38726929565919	XRCC2;LIG4;ATM;BRCA2;ATR
reciprocal meiotic recombination (GO:0007131)	5/27	0.0000644307660923833561660012403393693602993153035640716552734375	0.004343707480728177354467600679299721377901732921600341796875	0.0002133961858813719007603448840626469973358325660228729248046875	0.01438645953150249033603014225946026272140443325042724609375	-2.709137279259128	14.73507090967057	RAD51B;SPO11;RAD21;ATM;RAD54B
reciprocal DNA recombination (GO:0035825)	5/27	0.0000644307660923833561660012403393693602993153035640716552734375	0.004343707480728177354467600679299721377901732921600341796875	0.0002133961858813719007603448840626469973358325660228729248046875	0.01438645953150249033603014225946026272140443325042724609375	-2.7036403360069214	14.705172886699268	RAD51B;SPO11;RAD21;ATM;RAD54B
positive regulation of DNA repair (GO:0045739)	4/29	0.00008015797406962037164289414103990338844596408307552337646484375	0.00498829238633252854129285225326384534128010272979736328125	0.0002592603760699173213490065226238812101655639708042144775390625	0.0161339726338894685897518144201967515982687473297119140625	-2.620333539280208	13.889501462390088	RNF168;H2AFX;UBE2N;BRCC3
regulation of response to DNA damage stimulus (GO:2001020)	8/124	0.00002976122158081681050236129426611597637020167894661426544189453125	0.0024076828258880801116037506659495193162001669406890869140625	0.00014510121368442531648856874681996487197466194629669189453125	0.01173868818707000764856029917382329585961997509002685546875	-2.249783894453951	13.564150653438745	RNF168;PPP4R2;H2AFX;UBE2N;ATM;BRCC3;POLH;ATR
positive regulation of response to DNA damage stimulus (GO:2001022)	6/57	0.0000224261329627115451831355363854214601815328933298587799072265625	0.0020158601740926265603881528676311063463799655437469482421875	0.0000927414042005180795126551007712123464443720877170562744140625	0.0083364217775799033527395209830501698888838291168212890625	-2.1346908343248314	13.249405431117852	RNF168;H2AFX;UBE2N;ATM;BRCC3;ATR
regulation of DNA metabolic process (GO:0051052)	13/265	0.00011619677203886786382401596906532859065919183194637298583984375	0.00671451346996029298230812543124557123519480228424072265625	0.0006383247287211290220410031537312534055672585964202880859375	0.034426980369026229100715141839827992953360080718994140625	-2.3811144355500686	11.91386775624945	H2AFX;HUS1;BRCC3;INO80;IGF1;BRCA2;SMC1A;RNF168;STAG2;PPP4R2;UBE2N;POLH;ATR
meiotic cell cycle process (GO:1903046)	7/93	0.0001533898179203579937267265531630755504011176526546478271484375	0.00827282417983797417615488001274570706300437450408935546875	0.000554801439164632451302161531003775962744839489459991455078125	0.03205959744887054707618290194659493863582611083984375	-2.2548350493791465	10.811436490222194	RAD51B;APITD1;SPO11;RAD21;ATM;BRCA2;RAD54B
cellular response to gamma radiation (GO:0071480)	2/14	0.000735492504118149810314608583183826340246014297008514404296875	0.0244854076821816278586307902287444449029862880706787109375	0.00174018697160511505959978872937199412262998521327972412109375	0.06842931465614969510635745564286480657756328582763671875	-2.604783137477205	9.662906553177566	ATM;ATR
