Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
nucleoplasm (GO:0005654)	9/1051	0.000000169187065199035341097100778977313506601376502658240497112274169921875	0.000010489598042340191942113636347500005285837687551975250244140625	0.000001747155715240233105368656933709115008923618006519973278045654296875	0.000108323654344894457191537939788616995429038070142269134521484375	-2.259244534279029	25.902524277069343	POLD4;RFC4;UBB;POLR2B;POLE2;CHEK1;MCM6;RAD23B;POLR2L
DNA-directed RNA polymerase II, core complex (GO:0005665)	2/17	0.000115301427678874126247186848726045127477846108376979827880859375	0.002382896172030065339020321601992691284976899623870849609375	0.0002614552222027885682031911329659124021418392658233642578125	0.0081051118882864460479797941161450580693781375885009765625	-2.5947944692441864	15.67110201178705	POLR2B;POLR2L
condensed nuclear chromosome (GO:0000794)	2/27	0.00029589836018521970852079849834126434870995581150054931640625	0.004586424582870905590492593972840040805749595165252685546875	0.000616100060169813535347616006987436776398681104183197021484375	0.00954955093263210909315663599272738792933523654937744140625	-2.5616236553816942	13.793458385358512	CHEK1;TOPBP1
nucleolus (GO:0005730)	8/1653	0.000070567160451257983215002378418745365706854499876499176025390625	0.0021875819739889976016378181356003551627509295940399169921875	0.000509649944359754606022783196550562934135086834430694580078125	0.00954955093263210909315663599272738792933523654937744140625	-2.19341196371243	13.434557177906504	RDM1;POLR2B;POLE2;CHEK1;PMS2;MCM6;RAD23B;SUPT3H
DNA repair complex (GO:1990391)	2/33	0.0004436020690466806713769809533687293878756463527679443359375	0.00550066565617884049854691141945295385085046291351318359375	0.000898829248183375078933010637882716764579527080059051513671875	0.01114548267747385128234594020568692940287292003631591796875	-2.246701672401433	11.689333049727102	PMS2;RAD23B
condensed chromosome (GO:0000793)	2/48	0.000939681235819037085667260189580929363728500902652740478515625	0.007022069257734470625054168380074770539067685604095458984375	0.00182972517982452390593317570477438493981026113033294677734375	0.013623477274866534203479062625774531625211238861083984375	-2.10391976189784	10.432701323362414	CHEK1;TOPBP1
DNA-directed RNA polymerase complex (GO:0000428)	2/49	0.00097911333373982439333416127880127532989718019962310791015625	0.007022069257734470625054168380074770539067685604095458984375	0.00190297332259535090064062057280125372926704585552215576171875	0.013623477274866534203479062625774531625211238861083984375	-2.0764749616280973	10.29661086531411	POLR2B;POLR2L
RNA polymerase complex (GO:0030880)	2/50	0.00101933263418726191389118707064653790439479053020477294921875	0.007022069257734470625054168380074770539067685604095458984375	0.0019776015398999808973801162181871404754929244518280029296875	0.013623477274866534203479062625774531625211238861083984375	-2.0619305433171173	10.224489496948035	POLR2B;POLR2L
nuclear DNA-directed RNA polymerase complex (GO:0055029)	2/49	0.00097911333373982439333416127880127532989718019962310791015625	0.007022069257734470625054168380074770539067685604095458984375	0.00190297332259535090064062057280125372926704585552215576171875	0.013623477274866534203479062625774531625211238861083984375	-2.0445978081691822	10.138541709304157	POLR2B;POLR2L
nuclear chromosome (GO:0000228)	2/57	0.00132279437379577923493412239253075313172303140163421630859375	0.00820132511753383051933408154354765429161489009857177734375	0.0025383698785806786506202836761758590000681579113006591796875	0.01573789324720020754710958499344997107982635498046875	-2.069526082518683	9.94088480035592	CHEK1;TOPBP1
chromosome (GO:0005694)	2/166	0.01067301264338081125127022374954322003759443759918212890625	0.045544012031239179683073103888091281987726688385009765625	0.0191743635358101773003003387429998838342726230621337890625	0.06604502995667950460134676404777565039694309234619140625	-2.0710751126226383	6.397708679685948	CHEK1;TOPBP1
cytosol (GO:0005829)	6/2529	0.0255586510362704778798192961630775243975222110748291015625	0.06338545456995077487238887670173426158726215362548828125	0.08863858774194978418226043004324310459196567535400390625	0.1717372637500277077204913211971870623528957366943359375	-1.6497034392912278	4.550741361724679	UBB;TAOK1;CHEK1;BCL2;CEP192;POLR2L
germ cell nucleus (GO:0043073)	1/25	0.0234951516160244178177407547991606406867504119873046875	0.06309531337137465334397035121583030559122562408447265625	0.0328521355627243438757290050489245913922786712646484375	0.08807916908644282394380553569135372526943683624267578125	-1.5824866436344969	4.3725827475359305	TOPBP1
centrosome (GO:0005813)	2/360	0.045162303852265849035685363332959241233766078948974609375	0.10000224424430294301036070692134671844542026519775390625	0.07727040452316961960388397301358054392039775848388671875	0.1633581732429063848588413065954227931797504425048828125	-1.8405672668915223	4.238021445034689	CHEK1;CEP192
SAGA-type complex (GO:0070461)	1/29	0.02720549482512853167737176818263833411037921905517578125	0.0648746415060757197768026571793598122894763946533203125	0.037815226618546644854479410469139111228287220001220703125	0.09378176201399567035732474096221267245709896087646484375	-1.5430883383982972	4.220807160956473	SUPT3H
myelin sheath (GO:0043209)	1/17	0.0160342070688025591096437239002625574357807636260986328125	0.047339087536464700967098195860671694390475749969482421875	0.0228535824435434353762985892899450846016407012939453125	0.0674724814999853872432566959105315618216991424560546875	-1.3243442068302584	4.039804664527773	BCL2
male germ cell nucleus (GO:0001673)	1/19	0.0179044897670136808620622304033531690947711467742919921875	0.050458107525220376177177428189679631032049655914306640625	0.02536230135446056188630592487243120558559894561767578125	0.0714755765443888524401927497819997370243072509765625	-1.3050832171150426	3.8977769896310783	TOPBP1
microtubule organizing center (GO:0005815)	2/427	0.06122936169959207475255169583761016838252544403076171875	0.11777777538603877161005328844112227670848369598388671875	0.1033036042972692303276716074833530001342296600341796875	0.1729235059462887746928316801131586544215679168701171875	-1.793739083452026	3.836728418063135	CHEK1;CEP192
