Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
nucleoplasm (GO:0005654)	31/1051	0.000001300258954274943548070318788401067422455525957047939300537109375	0.0001560310745129932122159110985393226656015031039714813232421875	0.0000406366474557659911070496561169562710347236134111881256103515625	0.004876397694691918770215632861209087423048913478851318359375	-2.259244534279029	19.803307146334802	PRIM2;MDC1;SF3B3;TRRAP;XPA;BRCA2;PSMB4;PSMB5;RAD21;EP300;POLH;POLQ;FANCL;UBE2C;H2AFX;REV1;LIG4;HUS1;GTF2H2;SMC1A;PALB2;RAD52;PSMA5;RAD51B;WEE1;PSMC5;STAG2;PSMC4;ATM;ERCC5;ATR
replication fork (GO:0005657)	4/26	0.000057389907534017786465939392481772074461332522332668304443359375	0.0034433944520410671337462549246311027673073112964630126953125	0.0001922212867896794762090362240769536583684384822845458984375	0.01153327720738076857254217344461721950210630893707275390625	-2.5015938777839697	14.187283192170785	RAD51B;MMS22L;XRCC2;H2AFX
XY body (GO:0001741)	2/13	0.000631598693998244105525519120902799841132946312427520751953125	0.0189479608199473216478825321473777876235544681549072265625	0.00152656628704204750009154611944950374891050159931182861328125	0.04666647792246436665664077736437320709228515625	-2.269661046965073	9.00160953531444	H2AFX;ATR
sex chromosome (GO:0000803)	2/18	0.00122741336590757497103376660874118897481821477413177490234375	0.0234871373330070194740404332378602703101933002471923828125	0.00272801262937484405302068779519686358980834484100341796875	0.060152849502288573135810878511620103381574153900146484375	-2.3799973654508775	8.928089722416571	H2AFX;ATR
site of double-strand break (GO:0035861)	2/19	0.00136926204433272130124576992926677121431566774845123291015625	0.0234871373330070194740404332378602703101933002471923828125	0.0030076424751144287435267177244213598896749317646026611328125	0.060152849502288573135810878511620103381574153900146484375	-2.2673490727958074	8.505511916868885	RNF168;H2AFX
chromosomal region (GO:0098687)	6/124	0.000461054902186564950945790730685303060454316437244415283203125	0.0184421960874625971704698912390085752122104167938232421875	0.00155554926408214551185327234605892954277805984020233154296875	0.04666647792246436665664077736437320709228515625	-2.120752535966867	8.468406587326372	STAG2;SPO11;RAD21;H2AFX;ATM;SMC1A
chromosome (GO:0005694)	8/166	0.00137008301109207606370554710650822016759775578975677490234375	0.0234871373330070194740404332378602703101933002471923828125	0.00434161966407031231496294054750251234509050846099853515625	0.07442776566977678254222183795718592591583728790283203125	-2.217674470038045	8.319167462549421	MDC1;STAG2;SPO11;RAD21;H2AFX;LIG4;SMC1A;ATR
nuclear chromosome part (GO:0044454)	11/327	0.0025557541755125271799864439259408754878677427768707275390625	0.038336312632687906398754051906507811509072780609130859375	0.009395923984495298253438733127040904946625232696533203125	0.140938859767429480740474900812841951847076416015625	-2.285842804184505	7.454951079458063	MMS22L;INO80E;EME1;TRRAP;ALKBH1;RAD21;H2AFX;XPA;HUS1;ERCC5;INO80
nuclear ubiquitin ligase complex (GO:0000152)	3/38	0.00543383326561621728123530061793644563294947147369384765625	0.07245111020821622116461213636284810490906238555908203125	0.01065429904302110826475047389294559252448379993438720703125	0.14205732057361475373369330554851330816745758056640625	-2.1576280384041833	5.663435471472844	BARD1;UBE2C;BRCC3
condensed chromosome (GO:0000793)	3/48	0.00855874862431342704749415162268633139319717884063720703125	0.10270498349176111763103591556500759907066822052001953125	0.016322199857024551061801531659511965699493885040283203125	0.1958663982842946127416183799141435883939266204833984375	-1.9776976853017167	4.5010315585036516	H2AFX;LIG4;SMC1A
chromosome, telomeric region (GO:0000781)	3/53	0.010359329069269451739643272958346642553806304931640625	0.113010862573848569478940362387220375239849090576171875	0.0195427745362092321335101274826229200698435306549072265625	0.213193904031373449026176558618317358195781707763671875	-1.9507730458841086	4.25321455482214	SPO11;H2AFX;ATM
ubiquitin ligase complex (GO:0000151)	5/183	0.0160910392728524746785989663067084620706737041473388671875	0.1485326702109459329204099731214228086173534393310546875	0.036154291753700718015096526869456283748149871826171875	0.27115718815275535735764833589200861752033233642578125	-2.013918433882704	3.840442449305092	BARD1;RNF168;UBE2C;UBE2N;BRCC3
proteasome complex (GO:0000502)	5/63	0.01441316933564940061529568993137218058109283447265625	0.1441316933564940061529568993137218058109283447265625	0.02670420170243646695862338447113870643079280853271484375	0.267042017024364641830658229082473553717136383056640625	-1.8764613280275073	3.634757870869488	PSMA5;PSMC5;PSMB4;PSMB5;PSMC4
nucleolus (GO:0005730)	21/1653	0.019515262653003538628748714245375595055520534515380859375	0.1621401891316549548349712495109997689723968505859375	0.1082871056906245244011444128773291595280170440673828125	0.39377129342045280591122491387068293988704681396484375	-1.966623409191649	3.5778660760761474	MUS81;BARD1;MDC1;INO80E;XPA;HUS1;LIG4;BRCC3;BRCA2;SMC1A;PALB2;OXR1;PSMA5;RNF168;PSMB5;STAG2;PSMC4;RAD21;EP300;RAD54L;ERCC5
nuclear chromatin (GO:0000790)	3/177	0.0933729105933826242225137548302882350981235504150390625	0.320135693463026116400982346021919511258602142333984375	0.1550413950436737575699908120441250503063201904296875	0.514693312415685166882894918671809136867523193359375	-1.6460997611639463	1.8749246338171655	EME1;ALKBH1;H2AFX
INO80-type complex (GO:0097346)	3/21	0.059194669165835323010327329029678367078304290771484375	0.2367786766633412642857337004897999577224254608154296875	0.0827085065917499695498094069989747367799282073974609375	0.342242096241724025329489222713164053857326507568359375	-1.0924572543179056	1.5738260692945671	INO80E;TRRAP;INO80
DNA helicase complex (GO:0033202)	2/15	0.04264257641512296526098424465089919976890087127685546875	0.2046843667925902499060697437016642652451992034912109375	0.060841692538002332957258744272621697746217250823974609375	0.3042084626900116717251876252703368663787841796875	-0.921921274293173	1.4624309585210264	INO80E;INO80
germ cell nucleus (GO:0043073)	1/25	0.0700728143627800947879080695201992057263851165771484375	0.2627730538604253762713369724224321544170379638671875	0.097008149167758350728263394557870924472808837890625	0.375515416133258117525883790221996605396270751953125	-1.0595812152283284	1.416092713356746	H2AFX
condensed nuclear chromosome (GO:0000794)	2/27	0.07546543696584907812141551630702451802790164947509765625	0.274419770784905703298051093952381052076816558837890625	0.1040757534285927377037950236626784317195415496826171875	0.3902840753572227594503374348278157413005828857421875	-1.0214655378904745	1.3208533431303895	H2AFX;SMC1A
Ino80 complex (GO:0031011)	2/15	0.04264257641512296526098424465089919976890087127685546875	0.2046843667925902499060697437016642652451992034912109375	0.060841692538002332957258744272621697746217250823974609375	0.3042084626900116717251876252703368663787841796875	-0.8323430801304783	1.320334308834349	INO80E;INO80
male germ cell nucleus (GO:0001673)	1/19	0.05370879753673800383051428752878564409911632537841796875	0.2301805608717343021307755179805099032819271087646484375	0.07547563603296451872903816138205002062022686004638671875	0.33544727125762008324016960614244453608989715576171875	-0.8744377340920555	1.2844539194700433	H2AFX
