Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
single-stranded DNA binding (GO:0003697)	4/76	0.000000714564751422694259257064990087382483352484996430575847625732421875	0.0000493049678481659041004957211296044761184020899236202239990234375	0.00000245520014125507952232915602486240658208771492354571819305419921875	0.00016940880974660048915829413385125690183485858142375946044921875	-2.287680621560901	22.688039883167892	IGHMBP2;PMS2;MCM6;RAD23B
nucleotidyltransferase activity (GO:0016779)	4/140	0.000008215634190247358495666658850797858804071438498795032501220703125	0.0002834393795635338909703893062186352835851721465587615966796875	0.00002540995636176844122149261206988768435621750541031360626220703125	0.000876643494481011233999956377971329857246018946170806884765625	-2.3542863291176626	19.231016805009695	POLD4;POLR2B;POLE2;POLR2L
structure-specific DNA binding (GO:0043566)	4/241	0.00006913391503707253817577471632915830923593603074550628662109375	0.00159008004585266845935798141198347366298548877239227294921875	0.000200708922175557124938094499810858906130306422710418701171875	0.004616305210037813765155956247099311440251767635345458984375	-2.3675701336448305	15.256553093957331	IGHMBP2;PMS2;MCM6;RAD23B
DNA-directed DNA polymerase activity (GO:0003887)	2/31	0.0003911150194389739613055889666526354631059803068637847900390625	0.006746734085322301198439642888615708216093480587005615234375	0.00075984400997947923635245093265666582738049328327178955078125	0.01310730917214601720655053895825403742492198944091796875	-2.6107477302834585	13.050336143259758	POLD4;POLE2
ATP-dependent DNA helicase activity (GO:0004003)	2/36	0.0005283995050179902432108125509557794430293142795562744140625	0.00729191316924826526957303940434940159320831298828125	0.00100799772115787501271244597234044704237021505832672119140625	0.0139103685519786739177572343351130257360637187957763671875	-2.575600426847101	12.674502218625317	IGHMBP2;MCM6
DNA polymerase activity (GO:0034061)	2/45	0.000826121900835932406782780024201429114327766001224517822265625	0.007771450282472245306431002376257310970686376094818115234375	0.00153983881892554171598452850133753599948249757289886474609375	0.014427189842666256203163044347093091346323490142822265625	-2.3207838863625785	11.27274004474906	POLD4;POLE2
DNA-directed RNA polymerase activity (GO:0003899)	2/47	0.00090103771390982550192061406590937622240744531154632568359375	0.007771450282472245306431002376257310970686376094818115234375	0.0016727176629178267495967613598395473673008382320404052734375	0.014427189842666256203163044347093091346323490142822265625	-2.2601034855471416	10.977997226073384	POLR2B;POLR2L
RNA polymerase activity (GO:0034062)	2/47	0.00090103771390982550192061406590937622240744531154632568359375	0.007771450282472245306431002376257310970686376094818115234375	0.0016727176629178267495967613598395473673008382320404052734375	0.014427189842666256203163044347093091346323490142822265625	-2.2421640072559397	10.890859825428944	POLR2B;POLR2L
DNA helicase activity (GO:0003678)	2/51	0.00106033776503617585725003369390151419793255627155303955078125	0.0081292561986106813554098238228107220493257045745849609375	0.0019543222270858302651308502362326180445961654186248779296875	0.014983137074324699711258546130920876748859882354736328125	-2.1677366569929832	10.43176843684088	IGHMBP2;MCM6
ATP binding (GO:0005524)	6/1494	0.001997774566400098601726131875011560623534023761749267578125	0.0137846445081606823468423073109079268760979175567626953125	0.00733332874051942536219872437186495517380535602569580078125	0.038923052545833870807800991542535484768450260162353515625	-2.287045508405779	9.7981604200523	RFC4;TAOK1;CHEK1;IGHMBP2;PMS2;MCM6
