Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
DNA secondary structure binding (GO:0000217)	3/18	0.00122741336590757497103376660874118897481821477413177490234375	0.07141490992227579603923715012570028193295001983642578125	0.0023041007059077145587011603566907069762237370014190673828125	0.1436745471203354218570069633642560802400112152099609375	-2.9859571529814812	7.880683262528425	RAD51B;XRCC2;ERCC5
DNA-dependent ATPase activity (GO:0008094)	5/80	0.00162306613459717720242270200259326884406618773937225341796875	0.07141490992227579603923715012570028193295001983642578125	0.0032653306163712599030635175267889280803501605987548828125	0.1436745471203354218570069633642560802400112152099609375	-2.366902349626684	6.246843733881903	RAD51B;POLQ;XRCC2;GTF2H2;RAD54B
damaged DNA binding (GO:0003684)	5/64	0.000850523333662026666431021926229050222900696098804473876953125	0.07141490992227579603923715012570028193295001983642578125	0.0017720586360072915037278118433050622115842998027801513671875	0.1436745471203354218570069633642560802400112152099609375	-2.3634125088882727	6.237633176567432	POLQ;H2AFX;XPA;REV1;POLH
DNA-directed DNA polymerase activity (GO:0003887)	4/31	0.0036412333455088656715414874298630820703692734241485595703125	0.12016070040179256672718821619127993471920490264892578125	0.006215806155784005422593185841151353088207542896270751953125	0.205121603140872188486554250630433671176433563232421875	-2.6107477302834585	5.531979318598869	POLQ;REV1;POLL;POLH
DNA polymerase activity (GO:0034061)	4/45	0.007553523619339597323929513805751412292011082172393798828125	0.1994130235505653658822922125182230956852436065673828125	0.01232702001692490174911132072566033457405865192413330078125	0.325433328446817438095450825130683369934558868408203125	-2.341488991453612	3.7753632528870398	POLQ;REV1;POLL;POLH
ATPase activity (GO:0016887)	9/395	0.0275556494161548516663717833807822898961603641510009765625	0.2319289392767773516634832731142523698508739471435546875	0.054392305608673786887496959252530359663069248199462890625	0.335515223489313563209890389771317131817340850830078125	-2.4089356403578215	3.5202360690399463	RAD51B;POLQ;PSMC5;PSMC4;XRCC2;GTF2H2;INO80;ABCF2;RAD54B
small conjugating protein binding (GO:0032182)	3/88	0.02697981186334315328867461403206107206642627716064453125	0.2319289392767773516634832731142523698508739471435546875	0.041442554758959783411942368047675699926912784576416015625	0.335515223489313563209890389771317131817340850830078125	-2.337249752507927	3.4154797427095063	RNF168;UBE2N;BRCC3
ubiquitin binding (GO:0043130)	3/77	0.021043800395885929599426589220456662587821483612060546875	0.2319289392767773516634832731142523698508739471435546875	0.032680257515993293981892975352820940315723419189453125	0.335515223489313563209890389771317131817340850830078125	-2.3234061148953358	3.3952496993517176	RNF168;UBE2N;BRCC3
ATP binding (GO:0005524)	19/1494	0.0272234849888227624370440338452681316994130611419677734375	0.2319289392767773516634832731142523698508739471435546875	0.08387880587232839080247259744282928295433521270751953125	0.335515223489313563209890389771317131817340850830078125	-2.262009652032263	3.3055295592777565	POLQ;SPO11;UBE2C;MCM9;XRCC2;LIG4;INO80;CHTF18;SMC1A;RAD54B;RAD51B;WEE1;PSMC5;PSMC4;UBE2N;RAD54L;ATM;ABCF2;ATR
ATPase activity, coupled (GO:0042623)	5/272	0.044401941592158211680185786462971009314060211181640625	0.2319289392767773516634832731142523698508739471435546875	0.0758231461414271834531319882444222457706928253173828125	0.335515223489313563209890389771317131817340850830078125	-2.2445394833990897	3.2799999781945646	RAD51B;POLQ;XRCC2;GTF2H2;RAD54B
ligase activity (GO:0016874)	6/431	0.036250733026811421400026347328093834221363067626953125	0.2319289392767773516634832731142523698508739471435546875	0.07016799145140766025274814410295221023261547088623046875	0.335515223489313563209890389771317131817340850830078125	-2.2265456088206297	3.253705092913417	BARD1;RNF168;UBE2C;FANCL;UBE2N;LIG4
single-stranded DNA binding (GO:0003697)	3/76	0.020534974036097407290579752725534490309655666351318359375	0.2319289392767773516634832731142523698508739471435546875	0.031924773228665971613882135216044844128191471099853515625	0.335515223489313563209890389771317131817340850830078125	-2.21047278948705	3.230217492248077	RAD51B;ERCC5;BRCA2
structure-specific DNA binding (GO:0043566)	6/241	0.03282150138383825577204078172144363634288311004638671875	0.2319289392767773516634832731142523698508739471435546875	0.057050387151241437055926297716723638586699962615966796875	0.335515223489313563209890389771317131817340850830078125	-2.203655470525194	3.2202551787260307	RAD51B;APITD1;XRCC2;EP300;ERCC5;BRCA2
ubiquitin-protein transferase activity (GO:0004842)	5/279	0.047264949787750538956476731300426763482391834259033203125	0.2319289392767773516634832731142523698508739471435546875	0.0804013581319569514693768041979637928307056427001953125	0.335515223489313563209890389771317131817340850830078125	-2.098749392373378	3.066953382702667	BARD1;RNF168;UBE2C;FANCL;UBE2N
protein N-terminus binding (GO:0047485)	3/89	0.027549405733344849156463141071071731857955455780029296875	0.2319289392767773516634832731142523698508739471435546875	0.042278748566082831328305502438524854369461536407470703125	0.335515223489313563209890389771317131817340850830078125	-2.0971080160319633	3.0645547996508347	ATM;ERCC5;GTF2H2
endonuclease activity (GO:0004519)	4/121	0.048170101825114775007108391946530900895595550537109375	0.2319289392767773516634832731142523698508739471435546875	0.07211225281563361788617072534179897047579288482666015625	0.335515223489313563209890389771317131817340850830078125	-2.086926698523302	3.0496765934738472	MUS81;EME1;ALKBH1;ERCC5
double-stranded DNA binding (GO:0003690)	3/109	0.039918714080856503023664316742724622599780559539794921875	0.2319289392767773516634832731142523698508739471435546875	0.06026846821403471221589853712430340237915515899658203125	0.335515223489313563209890389771317131817340850830078125	-2.0827825296889766	3.043620619058268	RAD51B;APITD1;ERCC5
nucleotidyltransferase activity (GO:0016779)	5/140	0.06236463029648968425799893111616256646811962127685546875	0.242121505856959962077468162533477880060672760009765625	0.09223828873860050181487935105906217359006404876708984375	0.358101591573390221068251548786065541207790374755859375	-1.9325653174959585	2.7409875156233245	PRIM2;POLQ;REV1;POLL;POLH
phosphatidylinositol 3-kinase activity (GO:0035004)	1/12	0.034259543352174716412950061794617795385420322418212890625	0.2319289392767773516634832731142523698508739471435546875	0.045749018656794891712902284552910714410245418548583984375	0.335515223489313563209890389771317131817340850830078125	-1.8734801859869294	2.7377620285294237	ATM
histone binding (GO:0042393)	2/132	0.05622836409552008085643848289691959507763385772705078125	0.2403918065238252188553502719514654017984867095947265625	0.08357401859789616305196346957018249668180942535400390625	0.335515223489313563209890389771317131817340850830078125	-1.8973570117018868	2.704654262608957	RNF168;H2AFX
phosphatidylinositol kinase activity (GO:0052742)	1/15	0.04264257641512296526098424465089919976890087127685546875	0.2319289392767773516634832731142523698508739471435546875	0.056012092580653739803953072851072647608816623687744140625	0.335515223489313563209890389771317131817340850830078125	-1.8434084043867003	2.693817404822626	ATM
endodeoxyribonuclease activity, producing 3'-phosphomonoesters (GO:0016889)	1/9	0.0258043813424197500394630111486549139954149723052978515625	0.2319289392767773516634832731142523698508739471435546875	0.03537681562013132718913510643687914125621318817138671875	0.335515223489313563209890389771317131817340850830078125	-1.84075728104971	2.6899432539993353	MUS81
H4 histone acetyltransferase activity (GO:0010485)	1/15	0.04264257641512296526098424465089919976890087127685546875	0.2319289392767773516634832731142523698508739471435546875	0.056012092580653739803953072851072647608816623687744140625	0.335515223489313563209890389771317131817340850830078125	-1.7697069855320704	2.586115734157423	BRCA2
1-phosphatidylinositol-3-kinase activity (GO:0016303)	1/11	0.03144920034475175152355319596608751453459262847900390625	0.2319289392767773516634832731142523698508739471435546875	0.0423037988819999488665501985451555810868740081787109375	0.335515223489313563209890389771317131817340850830078125	-1.757517331554267	2.5683026971950045	ATM
four-way junction DNA binding (GO:0000400)	2/9	0.0258043813424197500394630111486549139954149723052978515625	0.2319289392767773516634832731142523698508739471435546875	0.03537681562013132718913510643687914125621318817138671875	0.335515223489313563209890389771317131817340850830078125	-1.7549361554369134	2.564530761940021	RAD51B;XRCC2
helicase activity (GO:0004386)	4/150	0.07033884860686871742796455464485916309058666229248046875	0.26527794331733345334356499733985401690006256103515625	0.1034209506029255820624968009724398143589496612548828125	0.390044727988176465061087583308108150959014892578125	-1.9056432373507026	2.5287450509589027	MCM9;RAD54L;INO80;RAD54B
threonine-type peptidase activity (GO:0070003)	3/22	0.06192587238424572537720536047345376573503017425537109375	0.242121505856959962077468162533477880060672760009765625	0.07954116075267390895131569550358108244836330413818359375	0.335515223489313563209890389771317131817340850830078125	-1.7662776331297114	2.505139100709013	PSMA5;PSMB4;PSMB5
pre-mRNA binding (GO:0036002)	1/13	0.037061872073819453199394757803020183928310871124267578125	0.2319289392767773516634832731142523698508739471435546875	0.04918211306640764279851651963326730765402317047119140625	0.335515223489313563209890389771317131817340850830078125	-1.6973258267229523	2.480343391513632	EP300
gamma-tubulin binding (GO:0043015)	1/20	0.056455651532110469326131152456582640297710895538330078125	0.2403918065238252188553502719514654017984867095947265625	0.072877751463401641007777698177960701286792755126953125	0.335515223489313563209890389771317131817340850830078125	-1.7329925552001695	2.4703551691030787	BRCA2
K63-linked polyubiquitin binding (GO:0070530)	1/13	0.037061872073819453199394757803020183928310871124267578125	0.2319289392767773516634832731142523698508739471435546875	0.04918211306640764279851651963326730765402317047119140625	0.335515223489313563209890389771317131817340850830078125	-1.679443157674386	2.4542110135701036	RNF168
threonine-type endopeptidase activity (GO:0004298)	3/22	0.06192587238424572537720536047345376573503017425537109375	0.242121505856959962077468162533477880060672760009765625	0.07954116075267390895131569550358108244836330413818359375	0.335515223489313563209890389771317131817340850830078125	-1.715118249121864	2.432578948871981	PSMA5;PSMB4;PSMB5
lipopolysaccharide binding (GO:0001530)	1/18	0.05095408514414047351781533734538243152201175689697265625	0.2319289392767773516634832731142523698508739471435546875	0.06616716032178145134867719434623722918331623077392578125	0.335515223489313563209890389771317131817340850830078125	-1.6603547499288267	2.426316660428947	PSMB4
histone kinase activity (GO:0035173)	1/16	0.04542099676123105556069248223138856701552867889404296875	0.2319289392767773516634832731142523698508739471435546875	0.059409060723300911865951690060683176852762699127197265625	0.335515223489313563209890389771317131817340850830078125	-1.6584563532300314	2.4235424872960136	ATM
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters (GO:0016894)	1/18	0.05095408514414047351781533734538243152201175689697265625	0.2319289392767773516634832731142523698508739471435546875	0.06616716032178145134867719434623722918331623077392578125	0.335515223489313563209890389771317131817340850830078125	-1.6304164681102407	2.3825671231904946	MUS81
protein C-terminus binding (GO:0008022)	3/162	0.0803208450590518763245739819467416964471340179443359375	0.294509765216523555775296472347690723836421966552734375	0.1173044653705992146353054295104811899363994598388671875	0.430116373025530462914645113414735533297061920166015625	-1.902794834464287	2.326058449995799	MDC1;H2AFX;LIG4
