Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
DNA replication_Homo sapiens_hsa03030	4/36	0.0000000336056817955408060753547290488985055390003253705799579620361328125	0.00000137783295361717294321042548421729634355870075523853302001953125	0.0000006217690030462310829344717288957866685450426302850246429443359375	0.000025492529124895475247346288139027592478669248521327972412109375	-2.0011127825608988	27.005014232142116	POLD4;RFC4;POLE2;MCM6
Nucleotide excision repair_Homo sapiens_hsa03420	4/47	0.0000001010882442294692821650663552314475257531967145041562616825103759765625	0.000002072309006704120171887296975032910495428950525820255279541015625	0.00000168104158566990782546347708847900292994381743483245372772216796875	0.0000344613525062331072456277281101932885576388798654079437255859375	-1.8612206250621328	24.35750975849578	POLD4;RFC4;POLE2;RAD23B
Pyrimidine metabolism_Homo sapiens_hsa00240	4/105	0.0000026163810558767320883148503607440460427824291400611400604248046875	0.00002681790582273650496401840026550189577392302453517913818359375	0.0000352485473738431293326718585223744639733922667801380157470703125	0.0003612976105818920739658206553457375775906257331371307373046875	-1.7074979708594482	17.97387624802924	POLD4;POLR2B;POLE2;POLR2L
Mismatch repair_Homo sapiens_hsa03430	3/23	0.0000012719055805256042386976005065246653202848392538726329803466796875	0.00001738270960051659154454485600727053906666697002947330474853515625	0.00001257261767237776087908183997310374024891643784940242767333984375	0.00017182577485582939077514430525894795209751464426517486572265625	-1.4999719292338292	16.439744163800714	POLD4;RFC4;PMS2
Purine metabolism_Homo sapiens_hsa00230	4/176	0.00002025982958633739010388501167181374285064521245658397674560546875	0.00016613060260796660223998888472607404764858074486255645751953125	0.0002489657494123357077582536778237454200279898941516876220703125	0.002041519145181153009616092930400554905645549297332763671875	-1.6806062274944216	14.625872849322656	POLD4;POLR2B;POLE2;POLR2L
Epstein-Barr virus infection_Homo sapiens_hsa05169	3/202	0.0008729750567284147270974425936174156959168612957000732421875	0.0044739971657331255305845019165644771419465541839599609375	0.0056455430612158026548730305194112588651478290557861328125	0.028933408188730989907266888394588022492825984954833984375	-1.7751355696002982	9.602548022804882	POLR2B;BCL2;POLR2L
RNA polymerase_Homo sapiens_hsa03020	2/32	0.0004169531537671558184439402072740676885587163269519805908203125	0.0025982406901305580941563544428163368138484656810760498046875	0.00171627258887153597531616266991250085993669927120208740234375	0.01065056628109503807089186722123486106283962726593017578125	-1.6010183471997212	9.530735293158662	POLR2B;POLR2L
HTLV-I infection_Homo sapiens_hsa05166	3/258	0.0017645025154925629562452371601466438733041286468505859375	0.0080382892372438986827720697192489751614630222320556640625	0.01100297208806826944338386198296575457789003849029541015625	0.0501246506234221123055050384209607727825641632080078125	-1.7431593977166782	8.408197337875897	POLD4;POLE2;CHEK1
Base excision repair_Homo sapiens_hsa03410	2/33	0.0004436020690466806713769809533687293878756463527679443359375	0.0025982406901305580941563544428163368138484656810760498046875	0.0018183893650650065527962784273086072062142193317413330078125	0.01065056628109503807089186722123486106283962726593017578125	-1.3062236195578998	7.77584565064633	POLD4;POLE2
Cell cycle_Homo sapiens_hsa04110	2/124	0.006085704687484444312672859922486168215982615947723388671875	0.024951389218686219340082033113503712229430675506591796875	0.02188804245320645491812427962941001169383525848388671875	0.089740974058146461000973204136244021356105804443359375	-1.505679970433432	5.557202448635816	CHEK1;MCM6
