Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Homologous recombination_Homo sapiens_hsa03440	8/29	0.00000001936078999435759227846254077083643085899211655487306416034698486328125	0.000001335894509610673781187131607672835542643952067010104656219482421875	0.0000008615641212300635852429538108498974224858102388679981231689453125	0.000059447924364874386534730865694342583083198405802249908447265625	-1.6256098630856706	21.98785180236043	RAD51B;RAD52;MUS81;EME1;XRCC2;RAD54L;BRCA2;RAD54B
Fanconi anemia pathway_Homo sapiens_hsa03460	9/53	0.0000167688033927366339438831677188801450029131956398487091064453125	0.0005785237170494138270182560290777473710477352142333984375	0.00023127334246957783584104639817979887084220536053180694580078125	0.00797893031520043559401411670251036412082612514495849609375	-1.7542180056336925	13.077749638506488	MUS81;APITD1;EME1;FANCL;REV1;BRCA2;PALB2;POLH;ATR
Cell cycle_Homo sapiens_hsa04110	7/124	0.000461054902186564950945790730685303060454316437244415283203125	0.01060426275029099398017340405431241379119455814361572265625	0.00475182708314129953475202228219131939113140106201171875	0.10929202291224988929929651249040034599602222442626953125	-1.68263869815009	7.6501155159762355	WEE1;STAG2;RAD21;EP300;ATM;SMC1A;ATR
Proteasome_Homo sapiens_hsa03050	5/44	0.007231198270180395730466482717702092486433684825897216796875	0.12473817016061182483266378540065488778054714202880859375	0.02524154245836517096446272034881985746324062347412109375	0.43541660740679921648421668578521348536014556884765625	-1.584085425791065	3.2973346065771683	PSMA5;PSMC5;PSMB4;PSMB5;PSMC4
p53 signaling pathway_Homo sapiens_hsa04115	3/69	0.01712293054438483730361753032411797903478145599365234375	0.2362964415125107520143643569099367596209049224853515625	0.055738029058226501444295308829168789088726043701171875	0.76918480100352570882904501559096388518810272216796875	-1.633457981406508	2.3565378108298267	ATM;IGF1;ATR
FoxO signaling pathway_Homo sapiens_hsa04068	3/133	0.056983070999773351161810097664783825166523456573486328125	0.561690271283480146990996217937208712100982666015625	0.1643226674030998923914381748545565642416477203369140625	1	-1.6737707839986573	0.9654388544692297	EP300;ATM;IGF1
Non-homologous end-joining_Homo sapiens_hsa03450	2/13	0.037061872073819453199394757803020183928310871124267578125	0.426211528848923715262486666688346303999423980712890625	0.0729582779167017025923058781700092367827892303466796875	0.83902019604206967695603225365630351006984710693359375	-0.8410514053827466	0.7172650468829622	LIG4;POLL
HTLV-I infection_Homo sapiens_hsa05166	4/258	0.1719966381477294470325745123773231171071529388427734375	0.8176926976535145996649589505977928638458251953125	0.41173818144552909448208311005146242678165435791015625	1	-1.7181794317169672	0.34581572031941676	TRRAP;EP300;ATM;ATR
Pancreatic cancer_Homo sapiens_hsa05212	1/66	0.17468544048153400449763239521416835486888885498046875	0.8176926976535145996649589505977928638458251953125	0.30505732369609095400164733291603624820709228515625	1	-1.604385072753012	0.32291247896581593	BRCA2
MicroRNAs in cancer_Homo sapiens_hsa05206	2/297	0.212922643482200968367834548189421184360980987548828125	0.8176926976535145996649589505977928638458251953125	0.4837376516322422492777377556194551289081573486328125	1	-1.5704515187640655	0.31608271706838775	EP300;ATM
Nucleotide excision repair_Homo sapiens_hsa03420	3/47	0.1277292963236538458904334447652217932045459747314453125	0.8176926976535145996649589505977928638458251953125	0.229232502994110964866791846361593343317508697509765625	1	-1.5624547887597182	0.3144732257104975	XPA;ERCC5;GTF2H2
Renal cell carcinoma_Homo sapiens_hsa05211	1/66	0.17468544048153400449763239521416835486888885498046875	0.8176926976535145996649589505977928638458251953125	0.30505732369609095400164733291603624820709228515625	1	-1.5613526756168061	0.31425140484397207	EP300
Prostate cancer_Homo sapiens_hsa05215	2/89	0.22821257999698418839074065544991753995418548583984375	0.8176926976535145996649589505977928638458251953125	0.387167513415749675598220846950425766408443450927734375	1	-1.4991946110097523	0.3017409327192597	EP300;IGF1
Long-term potentiation_Homo sapiens_hsa04720	1/66	0.17468544048153400449763239521416835486888885498046875	0.8176926976535145996649589505977928638458251953125	0.30505732369609095400164733291603624820709228515625	1	-1.4680472423717972	0.2954719426925166	EP300
Adherens junction_Homo sapiens_hsa04520	1/74	0.193704939420068333877367194872931577265262603759765625	0.8176926976535145996649589505977928638458251953125	0.334764128092228219202297623269259929656982421875	1	-1.4337049450495585	0.2885599135605849	EP300
Melanogenesis_Homo sapiens_hsa04916	1/100	0.25259162175497340552254854628699831664562225341796875	0.8176926976535145996649589505977928638458251953125	0.42301930878644355971118784509599208831787109375	1	-1.4291188972976863	0.28763688574552826	EP300
TGF-beta signaling pathway_Homo sapiens_hsa04350	1/84	0.2168744585709597438860640750135644339025020599365234375	0.8176926976535145996649589505977928638458251953125	0.370162824771312515270693666025181300938129425048828125	1	-1.4199916236971681	0.28579985136108016	EP300
Notch signaling pathway_Homo sapiens_hsa04330	1/48	0.1302648398929160122872161764462362043559551239013671875	0.8176926976535145996649589505977928638458251953125	0.2334166694062439761925276116016902960836887359619140625	1	-1.408766476418672	0.2835405806934494	EP300
Glucagon signaling pathway_Homo sapiens_hsa04922	1/101	0.254769997916980350805005173242534510791301727294921875	0.8176926976535145996649589505977928638458251953125	0.42617538569250223989826054094010032713413238525390625	1	-1.3842065543659863	0.27859743739953213	EP300
Apoptosis_Homo sapiens_hsa04210	1/140	0.335028713753618700987857437212369404733180999755859375	0.8176926976535145996649589505977928638458251953125	0.536971403617017895015806061564944684505462646484375	1	-1.3186768988561899	0.26540836959666697	ATM
HIF-1 signaling pathway_Homo sapiens_hsa04066	3/103	0.259108048199668983269106092848232947289943695068359375	0.8176926976535145996649589505977928638458251953125	0.43243719122335655402622478504781611263751983642578125	1	-1.3053177058980994	0.26271958235453846	EP300;IGF1;GAPDH
Oocyte meiosis_Homo sapiens_hsa04114	2/123	0.30114625882999102035597616122686304152011871337890625	0.8176926976535145996649589505977928638458251953125	0.4915062057017660634983258205465972423553466796875	1	-1.3008908811717623	0.26182860114896306	IGF1;SMC1A
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	1/118	0.2908618733529799715853414454613812267780303955078125	0.8176926976535145996649589505977928638458251953125	0.477326270739314162394606455563916824758052825927734375	1	-1.2980957027560764	0.261266019255944	EP300
NF-kappa B signaling pathway_Homo sapiens_hsa04064	1/93	0.2371667863803177400683352971100248396396636962890625	0.8176926976535145996649589505977928638458251953125	0.400448626249912786878581982819014228880405426025390625	1	-1.2839903653504097	0.25842705649964176	ATM
Hepatitis B_Homo sapiens_hsa05161	1/146	0.34659748190210837304192637020605616271495819091796875	0.8176926976535145996649589505977928638458251953125	0.55205266680069875473435558888013474643230438232421875	1	-1.2481634019670058	0.2512162105771595	EP300
Wnt signaling pathway_Homo sapiens_hsa04310	1/142	0.338907161339241869146832186743267811834812164306640625	0.8176926976535145996649589505977928638458251953125	0.54205261178427732726703425214509479701519012451171875	1	-1.2192541556635084	0.24539768449671098	EP300
Jak-STAT signaling pathway_Homo sapiens_hsa04630	1/158	0.36914477643116272442824765676050446927547454833984375	0.8176926976535145996649589505977928638458251953125	0.58079390363825933452091021536034531891345977783203125	1	-1.2189307560128535	0.2453325942732583	EP300
Influenza A_Homo sapiens_hsa05164	1/175	0.399783183853196055768108863048837520182132720947265625	0.8176926976535145996649589505977928638458251953125	0.61845807589743950760663437904440797865390777587890625	1	-1.2185235899643532	0.24525064449679573	EP300
Systemic lupus erythematosus_Homo sapiens_hsa05322	1/135	0.325234496088958824344672393635846674442291259765625	0.8176926976535145996649589505977928638458251953125	0.524027022781905937875990275642834603786468505859375	1	-1.1726320103775771	0.23601410647379195	H2AFX
Alcoholism_Homo sapiens_hsa05034	1/179	0.406776921645984501640924690946121700108051300048828125	0.8176926976535145996649589505977928638458251953125	0.6268293741450039480156419813283719122409820556640625	1	-1.125853242194813	0.22659900516588483	H2AFX
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	3/137	0.329169079328741009948799955964204855263233184814453125	0.8176926976535145996649589505977928638458251953125	0.52924651243691245294797909082262776792049407958984375	1	-1.0742578455541283	0.2162144673666897	UBE2C;FANCL;UBE2N
